m a g e r	m a g e r
r a k e n	r a k e n
h u m o r	h u m o r
o n d e r	o n d e r
m a r j a	m a r j a
z o d r a	z o d r a
f l u i t	f l u i t
z e n i t	z e n i t
j u l i a	j u l i a
c o m b i	c o m b i
d u r e n	d u r e n
b a t e n	b a t e n
r a d a r	r a d a r
l o t u s	l o t u s
i j s j e	i j s j e
r a p e n	r a p e n
s l a n k	s l a n k
h o l t e	h o l t e
k a p e l	k a p e l
d u e l	d u e l
a r p	a r p
c d a	c d a
v w o	v w o
a b c	a b c
w a o	w a o
v s a	v s a
a b n	a b n
a p k	a p k
t a x i	t a x i
a l i b i	a l i b i
a z i ë	a z i ë
w a r m	w a r m
l a t e n	l a t e n
b r i t s	b r i t s
a n i m o	a n i m o
b r e i n	b r e i n
m o l e n	m o l e n
d r i n k	d r i n k
p e g e l	p e g e l
p a s e n	p a s e n
p r u i m	p r u i m
l a g e r	l a g e r
o n w e l	o n w e l
t e k s t	t e k s t
h u l s t	h u l s t
g e v a l	g e v a l
o m d a t	o m d a t
p a r e n	p a r e n
d u i t s	d u i t s
a o r t a	a o r t a
z a g e n	z a g e n
j o n a s	j o n a s
d r i f t	d r i f t
a r i ë r	a r i ë r
g e v e n	g e v e n
s t e m t	s t e m t
l a s e r	l e z e r
t a b a k	t a b a k
l e r e n	l e r e n
k u n d e	k u n d e
v r e d e	v r e d e
h e l f t	h e l f t
m e n e n	m e n e n
h o r e n	h o r e n
g e b e d	g e b e d
s t o m p	s t o m p
l i n d a	l i n d a
k r u i d	k r u i d
c a c a o	c a c a o
t u m o r	t u m o r
n o z e m	n o z e m
p i p e t	p i p e t
d o p e r	d o p e r
h a l e n	h a l e n
s t o u t	s t o u t
e r i n	e r i n
a l o m	a l o m
l u i s	l u i s
d u i m	d u i m
k a d o	k a d o
b r u g	b r u g
h e f t	h e f t
u r e n	u r e n
s l o p	s l o p
m a r s	m a r s
j u r y	j u r y
v e s t	v e s t
v o r m	v o r m
b l o g	b l o g
s a k e	s a k e
d r o l	d r o l
t r u c	t r u c
w i f i	w i f i
z e u s	z e u s
k l e i	k l e i
b l u t	b l u t
z e g t	z e g t
b l i j	b l i j
k l a s	k l a s
m a n d	m a n d
s t o m	s t o m
k l o s	k l o s
s t o l	s t o l
w i j k	w i j k
c h i p	c h i p
d r a f	d r a f
k u s t	k u s t
v i s a	v i s a
v a r a	v a r a
g i f t	g i f t
s i t e	s i t e
p i j l	p e i l
s l a k	s l a k
d i j k	d i j k
o g e n	o g e n
a m b t	a m b t
b o n t	b o n d
g r o t	g r o t
g i d s	g i d s
z e g e	z e g e
j u r k	j u r k
v i j s	v i j s
c a f é	c a f é
g a s t	g a s t
p i j p	p i j p
s a l p	s a l p
b e r m	b e r m
v r i j	v r i j
w r a k	w r a k
g a d e	g a d e
a u r a	a u r a
p o m p	p o m p
p a r k	p a r k
a k t e	a k t e
r a g e	r a g e
r i j d	r i j d
k l o m	k l o m
p l e k	p l e k
a l l e n	a l l e n
p i p o	p i p o
m o n d	m o n d
f o t o	f o t o
r i j p	r i j p
t i j d	t i j d
b o d e	b o d e
s l a p	s l a p
l e i e	l e i e
s t a d	s t a d
m u t s	m u t s
p r e i	p r e i
w i j f	w i j f
g r a m	g r a m
w i j s	w i j s
k l e p	k l e p
l i j m	l i j m
v e t e	v e t e
h o r s	h o r s
v a l t	v a l t
z e l f	z e l f
p u i n	p u i n
t r u i	t r u i
s t e r	s t e r
d u r f	d u r f
s t e p	s t e p
k a l m	k a l m
a r t s	a r t s
s p e l	s p e l
w o r p	w o r p
d a m e	d a m e
o n z e	o n z e
e d e n	e d e n
k r a b	k r a b
p r e t	p r e t
l i j k	l i j k
c o l a	c o l a
g i p s	g i p s
w a s t	w a s t
s a t é	s a t é
g e l d	g e l d
m e n s	m e n s
r o n d	r o n d
l u i d	l u i d
t r e k	t r e k
b e l l o	b e l l o
v l o e r	v l o e r
k r o e g	k r o e g
d o r d t	d o r d
c h i n a	c h i n a
d a a r o	d a a r o
p r a a g	p r a a g
a l l e r	a l l e r
b a r t	b a r t
w a d e	w a d e
a m e n	a m e n
g r a f	g r a f
p i n k	p i n k
h o u t	h o u t
z i j d	z i j d
g i s t	g i s t
b l e s	b l e s
w i l d	w i l d
k o r t	k o r t
e l s t	e l s t
t h e o	t h e o
w i n d	w i n d
r i j n	r i j n
j a v a	j a v a
s t u g	s t u g
v a l k	v a l k
t a k s	t a k s
p l u k	p l u k
r o d e	r o d e
v o n k	v o n k
a l o ë	a l o ë
g e l e	g e l e
r u s t	r u s t
p l a n	p l a n
s a r a	s a r a
o b e r	o b e r
s t o f	s t o f
k n a r	k n a r
w o u d	w o u d
t e l g	t e l g
w a r e	w a r e
v o n d	v o n d
h a r m	h a r m
l a n s	l a n s
k u i p	k u i p
b r i t	b r i t
t o k o	t o k o
m u i s	m u i s
z o r g	z o r g
l i n k	l i n k
a d r i	a d r i
g o u d	g o u d
a d a t	a d a t
s l e t	s l e t
z o n e	z o n e
w e s t	w e s t
y e t i	y e t i
p a k t	p a k t
b o r n	b o r n
f o u t	f o u t
b a r s	b a r s
l i s a	l i s a
r o t s	r o t s
g u l p	g u l p
m u s t	m u s t
i n f o	i n f o
k r a t	k r a t
w e r d	w e r d
h u i s	h u i s
m a r k	m a r k
p a r t	p a r t
b a l k	b a l k
m u n t	m u n t
m a m a	m a m a
z w a k	z w a k
h e l e	h e l e
g a n s	g a n s
e z e l	e z e l
o v e r	o v e r
t u l p	t u l p
s i n t	s i n t
r u i g	r u i g
o f t e	o f t e
k a n o	k a n o
p o l s	p o l s
l i g t	l i c h t
m a d e	m a d e
b r a m	b r a m
z u i d	z u i d
t r o k	t r o k
s e k s	s e k s
r u i s	r u i s
z u i l	z u i l
p l u g	p l u g
t r a p	t r a p
r e n t	r e n t
k r o p	k r o p
v e g a	v e g a
z u l k	z u l k
n i j d	n i j d
a l z o	a l z o
b r i l	b r i l
h a r e	h a r e
f e i t	f e i t
g a z a	g h a z a
m a y a	m a y a
l i s t	l i s t
s l i p	s l i p
l i n t	l i n t
l a n d	l a n d
s p a r	s p a r
a d a m	a d a m
h e l s	h e l s
v l o t	v l o t
d r o p	d r o p
b u l t	b u l t
h e k s	h e k s
s p o t	s p o t
a d e l	a d e l
h e i l	h e i l
n o v a	n o v a
r a r e	r a r e
k a l f	k a l f
b o n d	b o n d
t o r a	t o r a
d i r k	d i r k
w i j n	w i j n
k e r n	k e r n
j o k e	j o k e
p a s t	p a s t
k o m t	k o m t
c u b a	c u b a
g r i p	g r i p
n i k s	n i k s
m i t s	m i t s
d e z e	d e z e
w i l g	w i l g
b r o n	b r o n
v a s t	v a s t
b u i s	b u i s
w o r d	w o r d
c o d e	c o d e
z o u t	z o u t
k r a p	k r a b
j a z z	j a z z
a t e n	a t e n
f a s e	f a s e
m o u t	m o u t
k a s t	k a s t
b l o k	b l o k
f r i s	f r i s
s o m s	s o m s
r u i t	r u i t
g a l a	g a l a
h a r d	h a r d
o z o n	o z o n
s t o k	s t o k
r e i s	r e i s
w o n d	w o n d
w a n t	w a n t
h u i b	h u i b
r i t s	r i t s
z i n k	z i n k
h u l p	h u l p
b r a k	b r a k
t a n d	t a n d
l e n s	l e n s
b l o m	b l o m
m a v o	m a v o
s j a p	s j a p
b u i k	b u i k
d u p e	d u p e
m e s t	m e s t
m e n u	m e n u
d a d a	d a d a
v u i l	v u i l
s p e k	s p e k
b o r d	b o r d
r i j k	r i j k
k l i m	k l i m
d r o m	d r o m
k w a k	k w a k
k l o k	k l o k
b u r g	b u r g
l a s t	l a s t
d u i n	d u i n
e d e l	e d e l
d u i f	d u i f
h a r t	h a r d
w o l f	w o l f
l a m a	l a m a
z i j l	z e i l
d o d e	d o d e
d o n k	d o n k
h e r e	h e r e
s m e t	s m e t
h o m o	h o m o
b e r g	b e r g
w i j l	w i j l
w i l t	w i l d
c l u b	c l u b
d a r m	d a r m
p l a s	p l a s
b i t s	b i t s
v i j f	v i j f
d e v a	d e v a
s p u l	s p u l
s e i n	s e i n
h o n d	h o n d
w i n t	w i n d
p e r s	p e r s
m o s t	m o s t
h e l d	h e l t
h u i d	h u i d
c l a n	c l a n
s a u s	s a u s
d r u k	d r u k
p u n t	p u n t
r e s t	r e s t
l i f t	l i f t
v l a m	v l a m
s t o p	s t o p
w o r m	w o r m
m a k e	m a k e
a c n e	a c n e
p i a s	p i a s
b e l t	b e l t
r e d e	r e d e
w e s p	w e s p
s t o e p	s t o e p
l e e s t	l e e s t
t o c h t	t o c h t
h o o r t	h o o r t
h a a l t	h a a l t
f r i e s	f r i e s
b r i e f	b r i e f
e r a a n	e r a a n
a n a a l	a n a a l
p a c h t	p a c h t
m a a r t	m a a r t
d i k k e	d i k k e
r e e k s	r e e k s
v e c h t	v e c h t
w a a l s	w a a l s
k o c h t	k o c h t
l a c h t	l a c h t
s c h u t	s c h u t
c u r r y	c u r r y
z o e k t	z o e k t
d r a n g	d r a n g
w r a a k	w r a a k
k l e e d	k l e e d
s l o o p	s l o o p
p a a r s	p a a r s
j a c h t	j a c h t
k i l l e	k i l l e
b e u r s	b e u r s
k n o o p	k n o o p
w o e s t	w o e s t
s l o o m	s l o o m
s t e e g	s t e e g
k r a a g	k r a a g
s t u u r	s t u u r
h o e z o	h o e z o
b l o e m	b l o e m
l u c h t	l u c h t
d i c h t	d i c h t
t s a a r	t s a a r
s t o e l	s t o e l
t r o u w	t r o u w
j e u g d	j e u g d
v r e e s	v r e e s
t r o e f	t r o e f
u i t t e	u i t t e
s t a a n	s t a a n
v i s i e	v i s i e
s c è n e	s c è n e
k n a a g	k n a a g
b o u w t	b o u w t
l e m m a	l e m m a
a p p è l	a p p è l
g r a a n	g r a a n
s c h o t	s c h o t
v l e e s	v l e e s
s c h i l	s c h i l
r o e d e	r o e d e
i p p o n	i p p o n
c a m e e	c a m e e
s o e r a	s o e r a
m a a k t	m a a k t
k w i e k	k w i e k
k l a a s	k l a a s
s c h o p	s c h o p
d o o i e	d o o i e
k r a a i	k r a a i
s l a a p	s l a a p
b r e u k	b r e u k
n a a l d	n a a l d
s p o e d	s p o e d
s c h e p	s c h e p
k u d d e	k u d d e
v e t t e	v e t t e
s c h u w	s c h u w
a d r i e	a d r i
g r o e t	g r o e t
n i e l s	n i e l s
d i e n s	d i e n s
j o o s t	j o o s t
p o o r t	p o o r t
f i e t s	f i e t s
k r a a n	k r a a n
r e c h t	r e c h t
a s i e l	a s i e l
k o f f i e	k o f f i e
t a i l l e	t a i l l e
s c h o o n	s c h o o n
c r u i s e	c r u i s e
m i s s i e	m i s s i e
n i v e a u	n i v e o
h o c k e y	h o c k e y
e t h i e k	e t i e k
s c h a a p	s c h a a p
a f v o e r	a f v o e r
h e r r i e	h e r r i e
b a k k i e	b a k k i e
a l l a n g	a l l a n g
c h e m i e	c h e m i e
z e e o o r	z e e o o r
m e r r i e	m e r r i e
s c h u u r	s c h u u r
b u r e a u	b u r e a u
w a a r d	w a a r d
b r e e d	b r e e d
k r e n g	k r e n g
c h l o o r	c h l o o r
c h a p e a u	c h a p e a u
s c h a a m	s c h a a m
s c h o o l	s c h o o l
p a s s i e	p a s s i e
s c h a a l	s c h a a l
s c h a a f	s c h a a f
s c h o e p	s c h o e p
a a n e e n	a a n e e n
c o r r i e	c o r r i e
s c h o e n	s c h o e n
c u i j k	c u i j k
c a d e a u	c a d e a u
e e u w i g	e e u w i g
n i e u w s	n i e u w s
a l l e e n	a l l e e n
c o o k i e	c o o k i e
s c h o o t	s c h o o t
s c h i e r	s c h i e r
e p i s c h	e p i s c h
s c h e e n	s c h e e n
g o o i t	g o o i t
p o e l s	p o e l s
l a n g s	l a n g s
d r o o m	d r o o m
g r o o t	g r o o t
b r u u t	b r u u t
b l o e i	b l o e i
s e r r e	s e r r e
z i e k e	z i e k e
s l i e p	s l i e p
i c o o n	i c o o n
d w a a s	d w a a s
s t e e k	s t e e k
v a c h t	v a c h t
v a a r t	v a a r t
s t a a l	s t a a l
o o g s t	o o g s t
s n o e k	s n o e k
s c h a t	s c h a t
e e r s t	e e r s t
w o r d t	w o r d
a a r d e	a a r d e
s p i e s	s p i e s
s t a a t	s t a a t
v u g h t	v u g h t
z e n n e	z e n n e
p r o o i	p r o o i
s m a a k	s m a a k
c h r i s	c h r i s
v r o u w	v r o u w
a a p j e	a a p j e
m e n n o	m e n n o
b o e t e	b o e t e
m a g i e	m a g i e
v e r r e	v e r r e
b u g g y	b u g g y
l i e k e	l i e k e
b o c h t	b o c h t
v r o e g	v r o e g
k a a r t	k a a r t
o f f e r	o f f e r
w i e r p	w i e r p
b o e i e	b o e i e
g h a n a	g h a n a
c o a c h	c o a c h
b i j o u	b i j o u
r i j d t	r i j d
a k k e r	a k k e r
l a a r s	l a a r s
w o o n t	w o o n t
b l a u w	b l a u w
v e e r e	v e e r e
h o o r n	h o o r n
d i n e r	d i n e r
z o t t e	z o t t e
g e e s t	g e e s t
g r i e p	g r i e p
b l e e k	b l e e k
o p t i e	o p t i e
s p r a y	s p r a y
n o a c h	n o a c h
k n a a p	k n a a p
h o u d t	h o u t
p o ë e t	p o ë e t
a f v a l	a f v a l
s l o o t	s l o o t
k w a a d	k w a a d
b r o o s	b r o o s
e l p e e	e l p e e
c h a o s	c h a o s
k e l l y	k e l l y
v l o e d	v l o e d
t a b o e	t a b o e
g l o e d	g l o e d
d r a a g	d r a a g
k o e r s	k o e r s
g e d o e	g e d o e
m e e n t	m e e n t
b l o o t	b l o o t
k n a a k	k n a a k
k l o e k	k l o e k
s t o o m	s t o o m
a c u u t	a c u u t
t h a n s	t h a n s
h e c h t	h e c h t
d w a n g	d w a n g
i e p e r	i e p e r
g r a a g	g r a a g
m a a r n	m a a r n
t r e u r	t r e u r
s t e e l	s t e e l
k l a u w	k l a u w
b r o e r	b r o e r
d r o e g	d r o e g
s a r a h	s a r a
k r o e s	k r o e s
l u n c h	l u n c h
b e u r t	b e u r t
a l l e s	a l l e s
n i c h t	n i c h t
g r i e k	g r i e k
n o o i t	n o o i t
s p o o k	s p o o k
s t e e n	s t e e n
l o t t e	l o t t e
b <<unk>> h n e	b <unk> h n e
l e i d t	l e i d
s l o e g	s l o e g
s p o o r	s p o o r
r e u z e	r e u z e
h a n g t	h a n g t
p r o e f	p r o e f
l i s s e	l i s s e
v l i e t	v l i e t
d a a g s	d a a g s
l a n g e	l a n g e
h a a s t	h a a s t
b u l l y	b u l l y
l e e r t	l e e r t
b l o o d	b l o o t
m a a n d	m a a n d
a s s e n	a s s e n
f e e s t	f e e s t
l o o d s	l o o d s
h o e r a	h o e r a
t h o r n	t o r n
z e t t e	z e t t e
e f f e n	e f f e n
b e l l a	b e l l a
k l o o f	k l o o f
d e p o t	d e p o t
t r o e p	t r o e p
k o o p t	k o o p t
s t i e r	s t i e r
r o e s t	r o e s t
b r e n g	b r e n g
o v a a l	o v a a l
b r a u w	b r a u w
k o u w e	k o u w e
s a n n e	s a n n e
h i t t e	h i t t e
d r a a k	d r a a k
a a l s t	a a l s t
b e e s t	b e e s t
n o o r d	n o o r d
v a n g t	v a n g t
d r o o g	d r o o g
a n o u k	a n o u k
j o n g e	j o n g e
v l a a i	v l a a i
e n g e l	e n g e l
p a s j a	p a s j a
z u c h t	z u c h t
s u s h i	s u s h i
a a r d s	a a r t s
w a c h t	w a c h t
v e e g t	v e e g t
p r a a t	p r a a t
v o o r t	v o o r t
s p o e l	s p o e l
s l a a n	s l a a n
a a r t s	a a r t s
e m m e r	e m m e r
g r a u w	g r a u w
t o e t s	t o e t s
b r o o m	b r o o m
b a l i e	b a l i e
s e r i e	s e r i e
n a a k t	n a a k t
g r a a d	g r a a t
w i t t e	w i t t e
h a a r d	h a a r d
k a a r s	k a a r s
b a k o e	b a k o e
a t j e h	a t j e h
p l a a t	p l a a t
r u z i e	r u z i e
m a a g d	m a a g d
a c t i e	a c t i e
n a c h t	n a c h t
b a a r d	b a a r d
s o e s t	s o e s t
i d o o l	i d o o l
t h u i s	t h u i s
t e e l t	t e e l t
s o r r y	s o r r y
v l i e g	v l i e g
l i c h t	l i c h t
s c h i p	s c h i p
s o o r t	s o o r t
m o o r d	m o o r d
p l a a g	p l a a g
b r o o d	b r o o d
a n g e l	a n g e l
a i r c o	a i r c o
b o o r d	b o o r d
v r a a g	v r a a g
g o e d e	g o e d e
v l o o t	v l o o t
t r o o n	t r o o n
s m o e l	s m o e l
s n a a r	s n a a r
t r a a g	t r a a g
o m m e n	o m m e n
z a c h t	z a c h t
g o e i e	g o e i e
l o o p t	l o o p t
v o c h t	v o c h t
g r o e i	g r o e i
