ɡ u b ɛ x ə	ɡ u b ɛ x ə
v z i m ə j	v z i m ə j
s m a ʒ ɛ ʃ	s m a ʒ ɛ ʃ
p a d̪ ə t̪ ɛ	p a d̪ ə t̪ ɛ
o̝ d̪ b o d̪ i	o̝ d̪ b o d̪ i
bʲ a ɡ ə ɫ o	bʲ a ɡ ə ɫ o
i s p ɛ ɛ m	i s p ɛ ɛ m
s ɛ t͡ʃ a ɫ ə	s ɛ t͡ʃ a ɫ ə
i z v ɛ d̪ ɛ	i z v ɛ d̪ ɛ
v i n ɛ n i	v i n ɛ n i
n ɐ ɛ m ɛ m	n ɐ ɛ m ɛ m
p a d̪ n ɛ m	p a d̪ n ɛ m
o̝ t̪ t͡ʃ ɛ t̪ i	o̝ t̪ t͡ʃ ɛ t̪ i
t̪ ɛ t͡ʃ ɛ ʃ ɛ	t̪ ɛ t͡ʃ ɛ ʃ ɛ
p i k a x ə	p i k a x ə
s o ʃ i t̪ ɛ	s o ʃ i t̪ ɛ
k a ʒ ɛ ɫ o̝	k a ʒ ɛ ɫ o̝
t̪ r a ɛ ɫ o̝	t̪ r a ɛ ɫ o̝
b r a x m ɛ	b r a x m ɛ
p ɫ ɐ t̪ i m	p ɫ ɐ t̪ i m
o̝ b v i n i	o̝ b v i n i
p i t̪ ə n i	p i t̪ ə n i
v ɫ i z ə ɫ	v ɫ i z ə ɫ
b ɛ rʲ a ɫ ə	b ɛ rʲ a ɫ ə
n ə ɾ ɐ n i	n ə ɾ ɐ n i
d̪ o ɛ j kʲ i	d̪ o ɛ j kʲ i
p i t̪ ə t̪ ɛ	p i t̪ ə t̪ ɛ
v n ɛ s ɛ n	v n ɛ s ɛ n
o t̪ r i t͡ʃ ə	o t̪ r i t͡ʃ ə
r ɐ n i ɫ ə	r ɐ n i ɫ ə
z ɐ ʃ i t̪ o̝	z ɐ ʃ i t̪ o̝
s v i ɾ ə n	s v i ɾ ə n
m ɐ ɡ n i t̪	m ɐ ɡ n i t̪
p r ɛ d̪ ɛ n	p r ɛ d̪ ɛ n
n ɐ ɛ x m ɛ	n ɐ ɛ x m ɛ
t͡ʃ ɛ t̪ ɛ n ə	t͡ʃ ɛ t̪ ɛ n ə
z ə b a v ə	z ə b a v ə
m ɔ ʒ ɛ ʃ ɛ	m ɔ ʒ ɛ ʃ ɛ
o p i ɾ ə ɫ	o p i ɾ ə ɫ
v lʲ u b i m	v lʲ u b i m
v ə v ɛ d̪ ɛ	v ə v ɛ d̪ ɛ
r ɛ t͡ʃ ɛ t̪ ɛ	r ɛ t͡ʃ ɛ t̪ ɛ
s ɫ ɛ z ɫ i	s ɫ ɛ z ɫ i
n ɐ v ɛ ɫ o̝	n ɐ v ɛ ɫ o̝
i ɡ r a ɫ o	i ɡ r a ɫ o
r ɛ ʃ ɛ n ə	r ɛ ʃ ɛ n ə
i t͡ʃ ʃ ɛ t̪ ɛ	i t͡ʃ ʃ ɛ t̪ ɛ
sʲ a d̪ ə m ɛ	sʲ a d̪ ə m ɛ
p ɫ a t͡ʃ ɛ ʃ	p ɫ a t͡ʃ ɛ ʃ
bʲ a ɡ ə ʃ ɛ	bʲ a ɡ ə ʃ ɛ
u m rʲ a ɫ ə	u m rʲ a ɫ ə
m ɔ ʒ ɛ ɫ ə	m ɔ ʒ ɛ ɫ ə
m ɛ t͡ʃ t̪ a ɫ	m ɛ t͡ʃ t̪ a ɫ
t̪ ɤ r s ɛ n	t̪ ɤ r s ɛ n
ʃ i ɫ o̝ t̪ o̝	ʃ i ɫ o̝ t̪ o̝
ə n ə ɫ ɔ k	ə n ə ɫ ɔ k
n ɐ x a p ɛ	n ɐ x a p ɛ
r ɛ ʃ i ɫ i	r ɛ ʃ i ɫ i
x ɔ r i t͡s ə	x ɔ r i t͡s ə
z ɐ s t͡ʃ ʃ ə	z ɐ s t͡ʃ ʃ ə
v i dʲ a ɫ ə	v i dʲ a ɫ ə
i s pʲ a x ə	i s pʲ a x ə
p i t̪ ə n ə	p i t̪ ə n ə
v ɫ ɛ z ɛ ʃ	v ɫ ɛ z ɛ ʃ
r ɛ t͡ʃ ɛ n ə	r ɛ t͡ʃ ɛ n ə
o̝ t̪ r ɛ k ɤ	o̝ t̪ r ɛ k ɤ
ɫ ɛ ʒ ɛ ʃ ɛ	ɫ ɛ ʒ ɛ ʃ ɛ
v ɫ ɛ z ɛ m	v ɫ ɛ z ɛ m
v lʲ u b i x	v lʲ u b i x
p i s ə n o	p i s ə n o
p ɐ r dʲ ɤ t̪	p ɐ r dʲ ɤ t̪
s ɫ i z ə t̪	s ɫ i z ə t̪
k a p ɛ ʃ ɛ	k a p ɛ ʃ ɛ
t͡ʃ u t̪ o̝ t̪ o̝	t͡ʃ u t̪ o̝ t̪ o̝
r ɐ n ɛ n ə	r ɐ n ɛ n ə
m r a z ɛ x	m r a z ɛ x
m o ɫ ɛ t̪ ɛ	m o ɫ ɛ t̪ ɛ
d̪ ɛ b n ə t̪	d̪ ɛ b n ə t̪
r ɛ t͡ʃ ɛ n o̝	r ɛ t͡ʃ ɛ n o̝
m ɐ ɫ t͡ʃ i m	m ɐ ɫ t͡ʃ i m
n ɐ b ɔ ɫ i	n ɐ b ɔ ɫ i
i s k ə n ə	i s k ə n ə
d̪ ɤ t͡ʃ ʃ ɛ ɫ	d̪ ɤ t͡ʃ ʃ ɛ ɫ
p i k a ɛ x	p i k a ɛ x
m r a z i ʃ	m r a z i ʃ
ʃ i b ə n ɛ	ʃ i b ə n ɛ
v lʲ a z ɫ o	v lʲ a z ɫ o
o b i x m ɛ	o b i x m ɛ
p ɐ r d̪ i m	p ɐ r d̪ i m
p ɔ t͡ʃ v ə ʃ	p ɔ t͡ʃ v ə ʃ
s ɫ i z ə m	s ɫ i z ə m
i s t̪ t͡ʃ ʃ ɛ	i s t̪ t͡ʃ ʃ ɛ
v lʲ u bʲ ə t̪	v lʲ u bʲ ə t̪
v lʲ a z ə t̪	v lʲ a z ə t̪
z ɐ ʃ i v ə	z ɐ ʃ i v ə
m ɔ ɫ ɛ n ə	m ɔ ɫ ɛ n ə
k a p ɛ ɫ i	k a p ɛ ɫ i
o b i x t̪ ɛ	o b i x t̪ ɛ
i z v ɛ ɫ i	i z v ɛ ɫ i
s ɛ d̪ n ɛ ʃ	s ɛ d̪ n ɛ ʃ
z ɐ ʃ i t̪ ə	z ɐ ʃ i t̪ ə
v i d̪ ɛ n i	v i d̪ ɛ n i
d̪ o̝ k ɐ ʒ i	d̪ o̝ k ɐ ʒ i
n ɐ r i t͡ʃ ə	n ɐ r i t͡ʃ ə
i s pʲ a t̪ o̝	i s pʲ a t̪ o̝
i s pʲ a ɫ ə	i s pʲ a ɫ ə
s v i ɾ ə ʃ	s v i ɾ ə ʃ
v n ɛ s o x	v n ɛ s o x
p o m i t̪ ə	p o m i t̪ ə
s ɐ z d̪ a j	s ɐ z d̪ a j
k o v a n o̝	k o v a n o̝
s k u bʲ ə t̪	s k u bʲ ə t̪
s t̪ r o i ʃ	s t̪ r o i ʃ
s ɫ u ʃ ə n	s ɫ u ʃ ə n
s lʲ a z ə t̪	s lʲ a z ə t̪
d̪ a ɫ i t̪ ɛ	d̪ a ɫ i t̪ ɛ
o̝ b ɛ d̪ i x	o̝ b ɛ d̪ i x
t͡s u p ɛ n ɛ	t͡s u p ɛ n ɛ
t̪ ɛ t͡ʃ a x ə	t̪ ɛ t͡ʃ a x ə
s o ʃ ɛ n ɛ	s o ʃ ɛ n ɛ
v z ɛ m ə x	v z ɛ m ə x
s ɐ z r ɛ m	s ɐ z r ɛ m
i s p i ɛ m	i s p i ɛ m
z ɐ p ɫ ɛ ɫ	z ɐ p ɫ ɛ ɫ
u t͡ʃ ɛ x t̪ ɛ	u t͡ʃ ɛ x t̪ ɛ
p a d̪ ə ʃ ɛ	p a d̪ ə ʃ ɛ
v i n ɛ t̪ ɛ	v i n ɛ t̪ ɛ
m ɔ ɫ ɛ ɫ ə	m ɔ ɫ ɛ ɫ ə
z ə v ɛ d̪ i	z ə v ɛ d̪ i
o t̪ ɛ k ɫ o̝	o t̪ ɛ k ɫ o̝
v z i m ə t̪	v z i m ə t̪
s o ʃ i ɫ o̝	s o ʃ i ɫ o̝
o̝ b ɛ d̪ i m	o̝ b ɛ d̪ i m
s v r ɛ ɫ i	s v r ɛ ɫ i
n ɐ ɛ m ɛ ʃ	n ɐ ɛ m ɛ ʃ
p ɫ a ʃ ə t̪	p ɫ a ʃ ə t̪
p ɔ t͡ʃ n ə t̪	p ɔ t͡ʃ n ə t̪
p o̝ ɫ o dʲ a	p o̝ ɫ o dʲ a
r ɐ n ɛ n o̝	r ɐ n ɛ n o̝
d̪ t͡ʃ ʃ t͡s s ə	d̪ t͡ʃ ʃ t͡s s ə
o t̪ t͡ʃ ɛ ɫ ə	o t̪ t͡ʃ ɛ ɫ ə
p i s ə n ə	p i s ə n ə
o b ɛ s i m	o b ɛ s i m
p r a t̪ ɛ n	p r a t̪ ɛ n
i z n ɛ s ɛ	i z n ɛ s ɛ
s t͡ʃ u p i ʃ	s t͡ʃ u p i ʃ
o b i v ə ʃ	o b i v ə ʃ
m ɫ ɐ k n i	m ɫ ɐ k n i
d̪ a d̪ ɛ n ə	d̪ a d̪ ɛ n ə
o b i v ə j	o b i v ə j
z ɐ r t͡ʃ ʃ ə	z ɐ r t͡ʃ ʃ ə
p ɫ ɐ t̪ i ʃ	p ɫ ɐ t̪ i ʃ
z ɐ t̪ t͡ʃ ʃ ə	z ɐ t̪ t͡ʃ ʃ ə
t͡ʃ a k ə t̪ ɛ	t͡ʃ a k ə t̪ ɛ
n ɐ v i ɾ ə	n ɐ v i ɾ ə
u m r ɛ t̪ ɛ	u m r ɛ t̪ ɛ
m u s k u ɫ	m u s k u ɫ
o n a sʲ ə t̪	o n a sʲ ə t̪
d̪ ɤ t͡ʃ ʃ ɛ m	d̪ ɤ t͡ʃ ʃ ɛ m
t͡ʃ a k ə n ə	t͡ʃ a k ə n ə
x ɔ d̪ i t̪ ɛ	x ɔ d̪ i t̪ ɛ
m ɐ ɫ t͡ʃ ɤ t̪	m ɐ ɫ t͡ʃ ɤ t̪
o̝ t͡s ɛ ɫ ɛ ɛ	o̝ t͡s ɛ ɫ ɛ ɛ
v i ʒ d̪ ə j	v i ʒ d̪ ə j
o t͡ʃ a k v ə	o t͡ʃ a k v ə
n ɐ ɛ x t̪ ɛ	n ɐ ɛ x t̪ ɛ
o̝ t̪ n ɛ s i	o̝ t̪ n ɛ s i
ɡ r ɛ b ɛ m	ɡ r ɛ b ɛ m
v z ɛ m ɛ ʃ	v z ɛ m ɛ ʃ
v z i m ə ɫ	v z i m ə ɫ
o̝ d̪ o b r i	o̝ d̪ o b r i
i z m rʲ a ɫ	i z m rʲ a ɫ
p i k a n ɛ	p i k a n ɛ
i z b i ɾ ə	i z b i ɾ ə
d̪ a v ə ʃ ɛ	d̪ a v ə ʃ ɛ
d̪ a v ə n ə	d̪ a v ə n ə
t̪ ɤ r s i m	t̪ ɤ r s i m
p ɛ t͡ʃ ɛ n ɛ	p ɛ t͡ʃ ɛ n ɛ
p ɫ a t͡ʃ ɛ x	p ɫ a t͡ʃ ɛ x
ə z ɔ t̪ ɛ n	ə z ɔ t̪ ɛ n
o b ɫ i t͡ʃ ə	o b ɫ i t͡ʃ ə
i s p ɛ t̪ i	i s p ɛ t̪ i
i s p t͡ʃ ʃ ɛ	i s p t͡ʃ ʃ ɛ
b o d̪ ɛ t̪ ɛ	b o d̪ ɛ t̪ ɛ
s t͡ʃ u p i m	s t͡ʃ u p i m
p r o z rʲ a	p r o z rʲ a
v ə r vʲ a ɫ	v ə r vʲ a ɫ
v z i m ə ʃ	v z i m ə ʃ
i s k ə m ɛ	i s k ə m ɛ
o m i ɾ ə t̪	o m i ɾ ə t̪
v i dʲ a x ə	v i dʲ a x ə
bʲ a ɡ ə ɫ ə	bʲ a ɡ ə ɫ ə
i s k ə n i	i s k ə n i
ɡ u b i t̪ ɛ	ɡ u b i t̪ ɛ
s ɫ i z ə ʃ	s ɫ i z ə ʃ
z ɐ m i ɾ ə	z ɐ m i ɾ ə
p i ʃ ɛ ɫ i	p i ʃ ɛ ɫ i
s t̪ r o i ɫ	s t̪ r o i ɫ
i z b ɛ r ɛ	i z b ɛ r ɛ
i ɡ r a x ə	i ɡ r a x ə
z ɐ p rʲ a ɫ	z ɐ p rʲ a ɫ
o̝ p k o v i	o̝ p k o v i
o̝ t͡s v ɛ t̪ i	o̝ t͡s v ɛ t̪ i
t͡ʃ ɛ ɫ ə t̪ ə	t͡ʃ ɛ ɫ ə t̪ ə
d̪ o̝ v ɛ d̪ i	d̪ o̝ v ɛ d̪ i
r ɐ nʲ a ɫ o̝	r ɐ nʲ a ɫ o̝
v d̪ i ʃ ə t̪	v d̪ i ʃ ə t̪
v ə r vʲ ɤ t̪	v ə r vʲ ɤ t̪
r ɛ ʃ i ɫ ə	r ɛ ʃ i ɫ ə
s p ɛ t͡ʃ ɛ n	s p ɛ t͡ʃ ɛ n
i s s t͡ʃ ʃ ə	i s s t͡ʃ ʃ ə
ɫ ɛ ʒ a x ə	ɫ ɛ ʒ a x ə
m ɔ ɫ ɛ ʃ ɛ	m ɔ ɫ ɛ ʃ ɛ
p a d̪ ə m ɛ	p a d̪ ə m ɛ
ɡ o r i ɫ ə	ɡ o r i ɫ ə
p r o d̪ a ɫ	p r o d̪ a ɫ
o b i v ə x	o b i v ə x
p o v ɛ ɫ i	p o v ɛ ɫ i
z ɐ ʃ i ɫ i	z ɐ ʃ i ɫ i
p ɛ t͡ʃ a x ə	p ɛ t͡ʃ a x ə
d̪ a d̪ ɛ n o	d̪ a d̪ ɛ n o
k o p ɛ t̪ ɛ	k o p ɛ t̪ ɛ
b ɔ d̪ ɛ n o	b ɔ d̪ ɛ n o
p i ʃ ɛ ʃ ɛ	p i ʃ ɛ ʃ ɛ
u m rʲ a ɫ o	u m rʲ a ɫ o
m ɔ ɫ ɛ x ə	m ɔ ɫ ɛ x ə
z ə k o v ɛ	z ə k o v ɛ
p ɫ ɐ tʲ a x	p ɫ ɐ tʲ a x
o t̪ t͡ʃ ɛ ɫ o̝	o t̪ t͡ʃ ɛ ɫ o̝
x ɔ d̪ ɛ ɫ i	x ɔ d̪ ɛ ɫ i
v lʲ a z o x	v lʲ a z o x
p i t̪ ə ʃ ɛ	p i t̪ ə ʃ ɛ
v i dʲ a n ə	v i dʲ a n ə
p i ɫ ə t̪ ə	p i ɫ ə t̪ ə
v ɫ ɛ z ɫ i	v ɫ ɛ z ɫ i
p o t̪ i t͡ʃ ə	p o t̪ i t͡ʃ ə
v n ɛ s ɫ i	v n ɛ s ɫ i
i s p i t̪ o̝	i s p i t̪ o̝
p i ɫ o̝ t̪ o̝	p i ɫ o̝ t̪ o̝
d̪ ɤ t͡ʃ ʃ ə t̪	d̪ ɤ t͡ʃ ʃ ə t̪
i s k ə t̪ ɛ	i s k ə t̪ ɛ
r ɛ t͡ʃ ɛ x ə	r ɛ t͡ʃ ɛ x ə
t͡ʃ u p ɛ ʃ ɛ	t͡ʃ u p ɛ ʃ ɛ
z ɐ p a lʲ ə	z ɐ p a lʲ ə
v ə v ɛ ɫ i	v ə v ɛ ɫ i
s ɫ ɛ z ɛ m	s ɫ ɛ z ɛ m
d̪ o v ɛ ɫ o̝	d̪ o v ɛ ɫ o̝
v n a sʲ ə ɫ	v n a sʲ ə ɫ
b ɫ i ʒ ə t̪	b ɫ i ʒ ə t̪
v ɫ i z ə ʃ	v ɫ i z ə ʃ
d̪ o̝ n ɛ s i	d̪ o̝ n ɛ s i
i s p t͡ʃ ʃ i	i s p t͡ʃ ʃ i
v z ɛ m ɛ m	v z ɛ m ɛ m
n ə z o v ɛ	n ə z o v ɛ
ə p ɛ t̪ i t̪	ə p ɛ t̪ i t̪
t͡ʃ o p ɛ t̪ ɛ	t͡ʃ o p ɛ t̪ ɛ
s p ɐ s i ɫ	s p ɐ s i ɫ
o b u t͡ʃ ə t̪	o b u t͡ʃ ə t̪
p ɫ a t͡ʃ ə t̪	p ɫ a t͡ʃ ə t̪
ə ɫ a r m ə	ə ɫ a r m ə
s v r ɛ n i	s v r ɛ n i
m ɔ ɫ ɛ ɫ i	m ɔ ɫ ɛ ɫ i
m r a z ɛ ɫ	m r a z ɛ ɫ
n ɐ t͡ʃ ɛ ɫ o̝	n ɐ t͡ʃ ɛ ɫ o̝
z ɐ p rʲ a n	z ɐ p rʲ a n
k a z ə n i	k a z ə n i
s ə b r a t̪	s ə b r a t̪
z t͡ʃ ʃ ɛ ɫ ə	z t͡ʃ ʃ ɛ ɫ ə
z ə s t͡ʃ ʃ i	z ə s t͡ʃ ʃ i
v i nʲ a x ə	v i nʲ a x ə
o̝ t̪ t͡ʃ ɛ t̪ ɤ	o t̪ t͡ʃ ɛ t̪ ə
v ɫ ɛ s t̪ ɛ	v ɫ ɛ s t̪ ɛ
x ɔ d̪ ɛ ɫ ə	x ɔ d̪ ɛ ɫ ə
s p ɐ sʲ ɤ t̪	s p ɐ sʲ ɤ t̪
k o vʲ a x ə	k o vʲ a x ə
s m a z v ə	s m a z v ə
o t̪ i t͡ʃ ə j	o t̪ i t͡ʃ ə j
a b d̪ a ɫ ə	a b d̪ a ɫ ə
i s k r ɛ n	i s k r ɛ n
s ɛ dʲ a ɫ o̝	s ɛ dʲ a ɫ o̝
b o ʃ u v ə	b o ʃ u v ə
z t͡ʃ ʃ i t̪ ə	z t͡ʃ ʃ i t̪ ə
m ɔ ʒ ɛ x ə	m ɔ ʒ ɛ x ə
m a ʒ ɛ ʃ ɛ	m a ʒ ɛ ʃ ɛ
i s pʲ a t̪ ə	i s pʲ a t̪ ə
o b ɛ s i ɫ	o b ɛ s i ɫ
b ɛ ɡ ɫ ɛ t͡s	b ɛ ɡ ɫ ɛ t͡s
v n a sʲ ə x	v n a sʲ ə x
k o ɫ ɛ ɡ ə	k o ɫ ɛ ɡ ə
i z b r a ɫ	i z b r a ɫ
i ɡ r a ɫ ə	i ɡ r a ɫ ə
r ɐ n i t̪ ɛ	r ɐ n i t̪ ɛ
t͡ʃ a k ə n i	t͡ʃ a k ə n i
m ɛ t͡ʃ t̪ a n	m ɛ t͡ʃ t̪ a n
s ɐ z d̪ a ɫ	s ɐ z d̪ a ɫ
o̝ b ɛ d̪ i ʃ	o̝ b ɛ d̪ i ʃ
o̝ t̪ ɛ t͡ʃ ɛ m	o̝ t̪ ɛ t͡ʃ ɛ m
i s p i t̪ ə	i s p i t̪ ə
i z n ɛ s ɤ	i z n ɛ s ɤ
t͡ʃ ɛ tʲ a ɫ ə	t͡ʃ ɛ tʲ a ɫ ə
z o v ɛ ɫ i	z o v ɛ ɫ i
s r ɛ ʃ n i	s r ɛ ʃ n i
ɡ r a bʲ ə t̪	ɡ r a bʲ ə t̪
p i ɛ x m ɛ	p i ɛ x m ɛ
u m rʲ a x ə	u m rʲ a x ə
b i t̪ ə t̪ ə	b i t̪ ə t̪ ə
z ɐ p r ɛ ʃ	z ɐ p r ɛ ʃ
ʃ i t̪ ə t̪ ə	ʃ i t̪ ə t̪ ə
p o̝ v ɛ d̪ ɤ	p o̝ v ɛ d̪ ɤ
i z r t͡ʃ ʃ ɛ	i z r t͡ʃ ʃ ɛ
k a p ɛ ɫ o̝	k a p ɛ ɫ o̝
b u d̪ i t̪ ɛ	b u d̪ i t̪ ɛ
v i dʲ a n o	v i dʲ a n o
ɡ r ɛ b ɤ t̪	ɡ r ɛ b ɤ t̪
ɫ ɤ ʒ ɛ x ə	ɫ ɤ ʒ ɛ x ə
o̝ b ɛ d̪ i ɫ	o̝ b ɛ d̪ i ɫ
n ə p i ʃ i	n ə p i ʃ i
t͡ʃ ɛ t̪ ɛ n i	t͡ʃ ɛ t̪ ɛ n i
i z b r a x	i z b r a x
p r o s t̪ i	p r o s t̪ i
i z ɫ i z ə	i z ɫ i z ə
m ɔ ɫ ɛ ɫ o̝	m ɔ ɫ ɛ ɫ o̝
o p r ɛ n i	o p r ɛ n i
i z m i n ɛ	i z m i n ɛ
i z ɫ ɛ z ɛ	i z ɫ ɛ z ɛ
o b ɛ s i ʃ	o b ɛ s i ʃ
i s t̪ i n ə	i s t̪ i n ə
b u d̪ ɛ ʃ ɛ	b u d̪ ɛ ʃ ɛ
p a d̪ n ɛ ʃ	p a d̪ n ɛ ʃ
p i t̪ ə n ɛ	p i t̪ ə n ɛ
i s pʲ a v ə	i s pʲ a v ə
i z b r a n	i z b r a n
p r o t͡ʃ ɛ ɫ	p r o t͡ʃ ɛ ɫ
o t̪ m i ɾ ə	o t̪ m i ɾ ə
o p a s v ə	o p a s v ə
s p ɐ s i ʃ	s p ɐ s i ʃ
v ɫ i z ə x	v ɫ i z ə x
ɡ r a b i ʃ	ɡ r a b i ʃ
ɫ ɛ ʒ a ɫ o̝	ɫ ɛ ʒ a ɫ o̝
i ɡ r a n ə	i ɡ r a n ə
i s p t͡ʃ ʃ ə	i s p t͡ʃ ʃ ə
sʲ a d̪ ə ɫ i	sʲ a d̪ ə ɫ i
k u p ɛ n o̝	k u p ɛ n o̝
s ɛ k i r ə	s ɛ k i r ə
z ə t̪ t͡ʃ ʃ i	z ə t̪ t͡ʃ ʃ i
u t͡ʃ ɛ j kʲ i	u t͡ʃ ɛ j kʲ i
