h u m kʰ	h u m kʰ
ɡ u ʃ p	ɡ u ʃ p
tʰ u ɾ m	tʰ u ɾ m
v ɑ nː ɑ	v ɑ nː ɑ
ɑ r t u	ɑ r t u
u ɾ ɑ χ	u ɾ ɑ χ
n u j n	n u j n
m ɛ <<unk>> ɑ	m ɛ kʰ kʰ ɑ
z u j kʰ	z u j kʰ
h u j z	h u j z
tʰ u j n	tʰ u j n
m u t kʰ	m u t kʰ
k ɑ t u	k ɑ t u
m u ɾ t͡ʃ	m u ɾ t͡ʃ
ɛ ɾ k u	ɛ ɾ k u
s ɔ d͡ʒ u	s ɔ d͡ʒ u
ɔ kʰ u t	ɔ kʰ u t
n i <<unk>> ɑ	n i <unk> ɑ
m j u s	m j u s
t u j ʒ	t u j ʒ
t ɑ b u	t ɑ b u
k u r kʰ	k u r kʰ
s ɔ u s	s ɔ u s
k u j ɾ	k u j ɾ
pʰ u n d͡ʒ	pʰ u n d͡ʒ
t͡ʃ j u ʁ	t͡ʃ j u ʁ
b ɑ nː ɑ	b ɑ nː ɑ
h ɑ t u	h ɑ t u
ɛ kʰ u t͡sʰ	ɛ kʰ u t͡sʰ
t͡s ɑ χ u	t͡s ɑ χ u
χ u m b	χ u m b
b u j n	b u j n
b ɑ kʰ u	b ɑ kʰ u
b u j l	b u j l
r u m b	r u m b
u r ɛ l	u r ɛ l
t͡s u ŋ k	t͡s u ŋ k
kʰ u t͡ʃʰ ɑ	kʰ u t͡ʃʰ ɑ
kʰ u ɾ m	kʰ u ɾ m
d u n t͡ʃʰ	d u n t͡ʃʰ
u n ɛ m	u n ɛ m
h u j s	h u j s
u s t i	u s t i
ɡ u n d	ɡ u n d
u ɾ h ɑ	u ɾ h ɑ
ɑ p u ɾ	ɑ p u ɾ
s u ʃ i	s u ʃ i
l j u n	l j u n
kʰ u ŋ kʰ	kʰ u ŋ kʰ
tʰ u χ tʰ	tʰ u χ tʰ
t u l ɑ	t u l ɑ
p u ɾ i	p u ɾ i
h ɑ s u	h ɑ s u
u ɾ u	u ɾ u
ɡ u j n	ɡ u j n
u ʁ ɛ ʁ	u ʁ ɛ ʁ
kʰ ɛ r u	kʰ ɛ r u
tʰ u l ɑ	tʰ u l ɑ
f u n t	f u n t
u ɾ i ʃ	u ɾ i ʃ
ɑ m u ɾ	ɑ m u ɾ
t͡s u j l	t͡s u j l
ɑ n u tʰ	ɑ n u tʰ
ɑ j s u	ɑ j s u
l u ɾ tʰ	l u ɾ tʰ
k u j t	k u j t
h u d ɑ	h u d ɑ
s u m ɔ	s u m ɔ
d͡ʒ u ɾ ə	d͡ʒ u ɾ ə
s ɛ u l	s ɛ u l
ʃ u n t͡ʃʰ	ʃ u n t͡ʃʰ
d j u ɾ	d j u ɾ
b u j ɾ	b u j ɾ
d͡z j u n	d͡z j u n
j u ɑ n	j u ɑ n
u ɾ f ɑ	u ɾ f ɑ
u ʒ ɛ ʁ	u ʒ ɛ ʁ
l u j t͡s	l u j t͡s
h u n d͡z	h u n d͡z
b j u ɾ	b j u ɾ
ɾ ɑ <<unk>> i	ɾ ɑ <unk> i
p ɛ ɾ u	p ɛ ɾ u
χ u ɾ t͡sʰ	χ u ɾ t͡sʰ
ɑ k u tʰ	ɑ k u tʰ
m u ɾ t͡sʰ	m u ɾ t͡sʰ
d u ɾ s	d u ɾ s
i n t͡ʃʰ u	i n t͡ʃʰ u
ɑ ʃ u ʁ	ɑ ʃ u ʁ
tʰ u χ s	tʰ u χ s
tʰ u ɾ kʰ	tʰ u ɾ kʰ
k u j s	k u j s
ɡ u ɾ z	ɡ u ɾ z
d u kʰ s	d u kʰ s
kʰ u ɾ d	kʰ u ɾ d
n u ɾ pʰ	n u ɾ pʰ
h ɔ ɾ u	h ɔ ɾ u
