s ơ n	s ơ n
r ò m	r ò m
t ớ i	t ớ i
x o e	x o e
r ì a	r ì a
c ầ y	c ầ y
l ù m	l ù m
i n h	i n h
n ô n	n ô n
g ỏ i	g ỏ i
t a y	t a y
v ờ i	v ờ i
h u y	h u y
v ả y	v ả y
g á i	g á i
m ồ m	m ồ m
t ấ n	t ấ n
v ă n	v ă n
t à u	t à u
v á y	v á y
m a i	m a i
r ũ a	r ũ a
m á i	m á i
t a m	t a m
h o à	h o à
t o a	t o a
s ẵ n	s ẵ n
t r ị	t r ị
m ề n	m ề n
m ấ y	m ấ y
x o á	x o á
l õ m	l õ m
l á i	l á i
r ố n	r ố n
n o m	n o m
h ó t	h ó t
h á t	h á t
x í a	x í a
h u n	h u n
d ấ u	d ấ u
c h ộ	c h ộ
s ủ i	s ủ i
h ổ i	h ổ i
h ò n	h ò n
h é t	h é t
n õ n	n õ n
r ớ t	r ớ t
h ẳ n	h ẳ n
h ã i	h ã i
r ấ p	r ấ p
h ư u	h ư u
k í n	k í n
h ố t	h ố t
d u y	d u y
t h ị	t h ị
h e o	h e o
x o a	x o a
l a u	l a u
m u a	m u a
t ố n	t ố n
v í u	v í u
c ẩ m	c ẩ m
m ẩ y	m ẩ y
n ấ y	n ấ y
r ỉ a	r ỉ a
r í u	r í u
m ư u	m ư u
m ứ c	m ứ c
c ủ a	c ủ a
h o a	h o a
v o a	v o a
c ú m	c ú m
n í n	n í n
p í p	p í p
c ấ p	c ấ p
s á u	s á u
n ấ p	n ấ p
v à o	v à o
s a y	x a y
d é t	r é t
q u ẻ	q u ẻ
k i m	k i m
l ờ i	l ờ i
l a n	l a n
d ờ i	r ờ i
h a y	h a y
s ă n	s ă n
m é c	m é c
m é o	m é o
x ó t	x ó t
n e o	n e o
g ố i	g ố i
s á p	s á p
g ã y	g ã y
h u ơ	h u ơ
l í t	l í t
h u ế	h u ế
t ê m	t ê m
g â u	g â u
g ắ t	g ắ t
t a o	t a o
r ê n	r ê n
d ẻ o	r ẻ o
t o ả	t o ả
s a m	s a m
h ắ c	h ắ c
n ú m	n ú m
r ằ n	r ằ n
c ở i	c ở i
s ẫ m	s ẫ m
t í p	t í p
g ã i	g ã i
m ẫ n	m ẫ n
x í u	x í u
g à u	g à u
v í a	v í a
g i ề n	r ề n
t r ó t	t r ó t
c h a i	t r a i
n h ở i	n h ở i
n h o à	n h o à
t h ư a	t h ư a
c h ơ i	c h ơ i
t r ớ n	t r ớ n
p h i m	p h i m
c h ổ i	c h ổ i
n h ã n	n h ã n
c h ê m	c h ê m
v i n h	v i n h
t r è o	c h è o
n g h ệ	n g h ệ
t h ủ a	t h ủ a
t r ấ u	t r ấ u
l a n g	l a n g
c h é o	c h é o
n h ơ i	n h ơ i
n g õ i	n g õ i
d ừ n g	d ừ n g
k h o ẻ	k h o ẻ
k h á n	k h á n
g i a n	g i a n
m ắ n g	m ắ n g
t h u ỳ	t h u ỳ
k h o m	k h o m
c h ố t	c h ố t
c h ì m	c h ì m
c h ầ u	t r ầ u
t h u ý	t h u ý
v ữ n g	v ữ n g
g i ỡ n	r ỡ n
n h à n	n h à n
c h ô m	c h ô m
t r à o	t r à o
p h ấ n	p h ấ n
c h u i	c h u i
c h á c	t r á c
k h ắ m	k h ắ m
p h o i	p h o i
n g á t	n g á t
n h ớ t	n h ớ t
c h a o	t r a o
r ì n h	r ì n h
g a n g	g a n g
c h é n	c h é n
t h ấ p	t h ấ p
n h a i	n h a i
t h u a	t h u a
t r ả m	t r ả m
s ì n h	s ì n h
k h ắ p	k h ắ p
r i n h	d i n h
r ằ n g	r ằ n g
n h ú n	n h ú n
h ứ n g	h ứ n g
r ù a	r ù a
h è n	h è n
q u á	q u á
t ẩ m	t ẩ m
c ắ c	c ắ c
ư n g	ư n g
m ì n	m ì n
t ả n	t ả n
m õ m	m õ m
l õ i	l õ i
t ắ c	t ắ c
g ó p	g ó p
x u a	x u a
q u è	q u è
l ù n	l ù n
h ớ n	h ớ n
h u ỷ	h u ỷ
c à y	c à y
h ớ t	h ớ t
d a i	d a i
r è n	r è n
m ú t	m ú t
r á p	r á p
s i n	s i n
x e m	x e m
k e m	k e m
t ế t	t ế t
t ầ m	t ầ m
k ế t	k ế t
r ẫ y	r ẫ y
g i á c	r á c
r ồ i	r ồ i
n ỗ i	n ỗ i
m ầ m	m ầ m
n ẳ m	n ẳ m
n ắ m	n ắ m
s ồ i	s ồ i
m ố t	m ố t
r ù m	r ù m
m è m	m è m
c â u	c â u
n ẩ u	n ẩ u
c ố m	c ố m
c ù m	c ù m
t ồ n	t ồ n
h ồ i	h ồ i
l ắ c	l ắ c
x ú i	x ú i
g ầ n	g ầ n
g á y	g á y
h ẻ m	h ẻ m
s ế n	s ế n
m à i	m à i
t ă m	t ă m
s o i	x o i
s ó i	s ó i
h i a	h i a
c ử i	c ử i
m í t	m í t
l e o	l e o
q u à	q u à
m ắ n	m ắ n
s à i	s à i
r ắ m	r ắ m
m ấ u	m ấ u
n ứ a	n ứ a
m o ả	m o ả
l ồ i	l ồ i
c à i	c à i
n ấ c	n ấ c
c ũ i	c ũ i
m ú i	m ú i
x ó m	x ó m
v ò i	v ò i
n ứ t	n ứ t
k é p	k é p
n á m	n á m
r é n	r é n
m ầ y	m ầ y
h ô n	h ô n
x ô i	x ô i
x ơ i	x ơ i
t ấ t	t ấ t
m á u	m á u
r ì u	r ì u
n ử a	n ử a
c à o	c à o
s ế p	s ế p
h ô m	h ô m
s ắ n	s ắ n
c ố t	c ố t
í c h	í c h
d ú i	d ú i
n ố t	n ố t
v ế t	v ế t
t ú t	t ú t
r ằ m	r ằ m
m é t	m é t
x á c	x á c
d ã i	d ã i
h ù m	h ù m
s u i	x u i
m ứ a	m ứ a
s ử u	s ử u
c ấ u	c ấ u
r ớ m	r ớ m
h è m	h è m
l ắ m	l ắ m
m ũ i	m ũ i
m ó n	m ó n
r ơ i	r ơ i
r ắ c	r ắ c
m ủ i	m ủ i
t ỏ i	t ỏ i
x ế p	s ế p
t á m	t á m
n a n	n a n
g ấ m	g ấ m
v ằ n	v ằ n
x u i	x u i
h é o	h é o
l â m	l â m
l ừ a	l ừ a
n ẫ u	n ẫ u
h ấ p	h ấ p
t ú m	t ú m
m í m	m í m
g à o	g à o
s ở i	s ở i
t u ỳ	t u ỳ
n ố i	n ố i
x o ã	x o ã
s ấ u	s ấ u
n h ị	n h ị
r ó t	r ó t
l ă m	l ă m
x o è	x o è
r ă n	r ă n
d â u	d â u
l ẫ y	l ẫ y
ử n g	ử n g
c ă n	c ă n
s a i	s a i
c ầ n	c ầ n
t ố p	t ố p
s ấ p	s ấ p
v ỉ a	v ỉ a
r ờ i	r ờ i
k ì m	k ì m
v é o	v é o
r i a	r i a
n ú t	n ú t
t ố i	t ố i
d ề n	r ề n
n ắ p	n ắ p
m é p	m é p
v ế u	v ế u
c õ i	c õ i
x ắ t	x ắ t
r è m	r è m
v ớ t	v ớ t
g ú t	g ú t
g á o	g á o
d ứ a	r ứ a
m ắ t	m ắ t
t ẩ u	t ẩ u
r a m	r a m
t í a	t í a
l ờ n	l ờ n
r á c	r á c
s o n	s o n
c ò n	c ò n
t a n	t a n
l ù i	l ù i
k ê u	k ê u
h e n	h e n
k ẻ o	k ẻ o
r ở m	r ở m
s ử a	s ử a
n é n	n é n
v ã i	v ã i
m ế n	m ế n
m ù n	m ù n
h ế t	h ế t
v a y	v a y
l ẫ n	l ẫ n
n ó n	n ó n
t a u	t a u
r ú t	r ú t
h ỡ i	h ỡ i
c ả i	c ả i
t r ụ	t r ụ
h ả i	h ả i
m ã i	m ã i
n ổ i	n ổ i
c a o	c a o
x â y	x â y
c u a	c u a
l ầ y	l ầ y
r é o	r é o
h ú t	h ú t
c ú p	c ú p
h ó i	h ó i
d o m	d o m
l a o	l a o
r é t	r é t
c ơ n	c ơ n
c á i	c á i
h ố i	h ố i
t i m	t i m
x é t	x é t
v o i	v o i
s ă m	s ă m
r o i	r o i
c ù i	c ù i
c ò i	c ò i
c ắ t	c ắ t
v ầ n	v ầ n
t ố t	t ố t
m ã o	m ã o
h ờ i	h ờ i
h à i	h à i
g ẫ m	g ẫ m
t ỏ m	t ỏ m
t ẩ y	t ẩ y
v ả i	v ả i
t â n	t â n
t à n	t à n
c á y	c á y
g ử i	g ử i
x á t	s á t
d ầ m	r ầ m
t é p	t é p
t á o	t á o
d í m	d í m
l é p	l é p
r ố i	r ố i
q u ý	q u ý
t â y	t â y
h ứ c	h ứ c
r ủ a	r ủ a
c á c	c á c
