t a č n o	t a č n o
o s o b a	o s o b a
n a u k a	n a u k a
r u s k i	r u s k i
s h e m a	s h e m a
u s t a v	u s t a v
s j e ć i	s j e ć i
r u č a k	r u č a k
j e t r a	j e t r a
a g e n t	a g e n t
z e n i t	z e n i t
o d a t i	o d a t i
h e r o j	h e r o j
n o s a č	n o s a č
f a r b a	f a r b a
š a š a v	š a š a v
o d b o r	o d b o r
b o m b a	b o m b a
i z b o r	i z b o r
h u m a k	h u m a k
k a l e ž	k a l e ž
p e r u t	p e r u t
j e s t i	j e s t i
g l e d e	g l e d e
v i s o k	v i s o k
g u ž v a	g u ž v a
r u t e r	r u t e r
j a p a n	j a p a n
a n t u n	a n t u n
t a j n o	t a j n o
t u m o r	t u m o r
p l u ć a	p l u ć a
s e r u m	s e r u m
f e š t a	f e š t a
v a r o š	v a r o š
f e t i š	f e t i š
o d v e ć	o d v e ć
n e t k o	n e t k o
n a k o t	n a k o t
n a s i p	n a s i p
p e v a c	p e v a c
b a r u n	b a r u n
m e d i j	m e d i j
n a i m e	n a i m e
g r u d i	g r u d i
d e s n o	d e s n o
ž r t v a	ž r t v a
š k o d a	š k o d a
v e t a r	v e t a r
t o r t a	t o r t a
j a s e n	j a s e n
s j a t i	s j a t i
l e t a k	l e t a k
m u č e n	m u č e n
k r u p a	k r u p a
o t r o v	o t r o v
č e l i k	č e l i k
o d r a z	o d r a z
s k u p a	s k u p a
u z r o k	u z r o k
z b r o j	z b r o j
j e d a n	j e d a n
s t r a h	s t r a h
a m b i s	a m b i s
s v j e ž	s v j e ž
g l i n a	g l i n a
r e d o m	r e d o m
l i j e p	l i j e p
i z i ć i	i z i ć i
š o d e r	š o d e r
b i v š i	b i v š i
m l e t i	m l e t i
r o g o z	r o g o z
r o d n i	r o d n i
o d m a k	o d m a k
o s v r t	o s v r t
t e š k o	t e š k o
l o n a c	l o n a c
s r a t i	s r a t i
o v a k o	o v a k o
o l u j a	o l u j a
v e s n a	v e s n a
n a z o r	n a z o r
m a r k o	m a r k o
d r e k a	d r e k a
t e z g a	t e z g a
s t u p a	s t u p a
z g o d a	z g o d a
s j e m e	s j e m e
z a m k a	z a m k a
r a č i ć	r a č i ć
