გ ა თ ი შ ე	გ ა თ ი შ ე
ბ ო დ ი შ ი	ბ ო დ ი შ ი
მ ა რ ჯ ვ ე	მ ა რ ჯ ვ ე
ნ ი ღ ა ბ ი	ნ ი ღ ა ბ ი
ტ ი რ ა ჟ ი	ტ ი რ ა ჟ ი
დ ა ც ვ ა მ	დ ა ც ვ ა მ
გ ვ ი ნ ე ა	გ ვ ი ნ ე ა
ა ქ ც ი ზ ი	ა ქ ც ი ზ ი
ტ ე რ ა ს ა	ტ ე რ ა ს ა
ლ ო დ ი ნ ი	ლ ო დ ი ნ ი
მ კ ა ფ ი ო	მ კ ა ფ ი ო
ვ ი ა რ ო თ	ვ ი ა რ ო თ
ღ ვ ა წ ლ ი	ღ ვ ა წ ლ ი
ა რ ჩ ე ვ ს	ა რ ჩ ე ვ ს
ტ ვ ი რ თ ი	ტ ვ ი რ თ ი
ს ა ბ ა ბ ი	ს ა ბ ა ბ ი
ა ფ რ ი კ ა	ა ფ რ ი კ ა
მ ღ ვ რ ი ე	მ ღ ვ რ ი ე
უ დ ი ე რ ი	უ დ ი ე რ ი
წ ყ ა რ ო მ	წ ყ ა რ ო მ
მ ა მ ი კ ო	მ ა მ ი კ ო
ა მ ბ ო ხ ი	ა მ ბ ო ხ ი
პ ა ნ ი კ ა	პ ა ნ ი კ ა
კ ვ დ ე ბ ა	კ ვ დ ე ბ ა
მ უ ს ო ნ ი	მ უ ს ო ნ ი
ლ ა ზ ე რ ი	ლ ა ზ ე რ ი
მ წ ვ ა ვ ე	მ წ ვ ა ვ ე
ა ფ ხ ა ზ ი	ა ფ ხ ა ზ ი
უ ყ ვ ა რ ს	უ ყ ვ ა რ ს
რ ბ ი ლ ა დ	რ ბ ი ლ ა დ
უ ს უ ლ ო დ	უ ს უ ლ ო დ
ც ვ ე ტ შ ი	ც ვ ე ტ შ ი
ი ე მ ე ნ ი	ი ე მ ე ნ ი
ს ი ც ი ვ ე	ს ი ც ი ვ ე
ს ა მ ო ც ი	ს ა მ ო ც ი
პ ა გ ო დ ა	პ ა გ ო დ ა
დ ა ვ ლ ე ვ	დ ა ვ ლ ე ვ
ფ ი ლ ტ ვ ი	ფ ი ლ ტ ვ ი
ს ა ქ მ რ ო	ს ა ქ მ რ ო
ი დ ე ა ლ ი	ი დ ე ა ლ ი
ლ ა მ ა ზ ი	ლ ა მ ა ზ ი
რ წ მ ე ნ ა	რ წ მ ე ნ ა
კ ა ნ ო ნ ი	კ ა ნ ო ნ ი
ს ი ნ ა ზ ე	ს ი ნ ა ზ ე
მ ა ი კ ლ ი	მ ა ი კ ლ ი
ს ი ც ი ლ ი	ს ი ც ი ლ ი
ზ უ რ გ ზ ე	ზ უ რ გ ზ ე
ქ ვ ე ი თ ი	ქ ვ ე ი თ ი
უ ძ ი ლ ო დ	უ ძ ი ლ ო დ
ა ღ წ ე რ ს	ა ღ წ ე რ ს
დ ა ლ ე ვ ს	დ ა ლ ე ვ ს
დ ა ვ ი თ ი	დ ა ვ ი თ ი
ლ ა ფ ა ნ ი	ლ ა ფ ა ნ ი
დ ა ლ ა ქ ი	დ ა ლ ა ქ ი
უ ქ ნ ა რ ა	უ ქ ნ ა რ ა
კ ი ს ე რ ი	კ ი ს ე რ ი
მ წ ნ ი ლ ი	მ წ ნ ი ლ ი
ძ ა რ ღ ვ ი	ძ ა რ ღ ვ ი
თ ა მ ა დ ა	თ ა მ ა დ ა
მ ე ბ ა ღ ე	მ ე ბ ა ღ ე
ფ ი ლ ტ რ ი	ფ ი ლ ტ რ ი
ქ ა ბ უ ლ ი	ქ ა ბ უ ლ ი
ბ ე ჯ ი თ ი	ბ ე ჯ ი თ ი
კ ა ხ ე თ ს	კ ა ხ ე თ ს
ო ქ რ ო თ ი	ო ქ რ ო თ ი
პ ა რ ი ზ ი	პ ა რ ი ზ ი
მ ტ რ უ ლ ი	მ ტ რ უ ლ ი
ყ ა ტ ა რ ი	ყ ა ტ ა რ ი
ყ ა ჩ ა ღ ი	ყ ა ჩ ა ღ ი
ჩ ა დ ი ა ნ	ჩ ა დ ი ა ნ
ც რ ე მ ლ ი	ც რ ე მ ლ ი
წ ყ ე უ ლ ი	წ ყ ე უ ლ ი
ს უ რ ა თ ი	ს უ რ ა თ ი
მ ა რ თ ვ ა	მ ა რ თ ვ ა
რ ო ტ ო რ ი	რ ო ტ ო რ ი
ფ ი ლ მ ი ს	ფ ი ლ მ ი ს
ს ტ რ ო ფ ი	ს ტ რ ო ფ ი
დ რ ო უ ლ ი	დ რ ო უ ლ ი
უ ძ რ ა ვ ი	უ ძ რ ა ვ ი
ყ ა ს ა ბ ი	ყ ა ს ა ბ ი
