h á t h a	h á t h a
t ö r ö k	t ö r ö k
s á v o s	s á v o s
í r t u k	í r t u k
p i r i t	p i r i t
i n t i k	i n t i k
f e l é t	f e l é t
é v b e n	é v b e n
t a g o k	t a g o k
m a r s i	m a r s i
v i z e k	v i z e k
e l s ő t	e l s ő t
t o r n a	t o r n a
f ő n é l	f ő n é l
l a p o k	l a p o k
l o b o g	l o b o g
f e j é r	f e j é r
b é k é s	b é k é s
a l a k ú	a l a k ú
f o r m a	f o r m a
s a j t ó	s a j t ó
é v n é l	é v n é l
m é h e k	m é h e k
f ő v e l	f ő v e l
l a t i n	l a t i n
k ü l ö n	k ü l ö n
p é l d a	p é l d a
f o g o k	f o g o k
m á r k a	m á r k a
m é t e r	m é t e r
h e t e s	h e t e s
b a r n a	b a r n a
v á r n i	v á r n i
e m b e r	e m b e r
g á r d a	g á r d a
b ó v l i	b ó v l i
f é l i g	f é l i g
t o r t a	t o r t a
i d e j e	i d e j e
d á v i d	d á v i d
é r t é k	é r t é k
t e j e t	t e j e t
v o n t a	v o n t a
v á l i k	v á l i k
c i p e l	c i p e l
l e l k e	l e l k e
h í v á s	h í v á s
n a p o t	n a p o t
n é z e k	n é z e k
é r v e k	é r v e k
m a g a m	m a g a m
t á j a k	t á j a k
e l v á r	e l v á r
v í z e n	v í z e n
l á b á n	l á b á n
r o m á n	r o m á n
t u d n i	t u d n i
j á r u l	j á r u l
k i k r e	k i k r e
n é p e k	n é p e k
b á j o s	b á j o s
v a s ú t	v a s ú t
t e s t i	t e s t i
b ő v ü l	b ő v ü l
v é g i g	v é g i g
h ő s é g	h ő s é g
é r t e m	é r t e m
h á t a t	h á t a t
é p ü l t	é p ü l t
s i e s s	s i e s s
b ő v e n	b ő v e n
u t a l t	u t a l t
m ó d o n	m ó d o n
b a j o r	b a j o r
s p o r t	s p o r t
é l e t e	é l e t e
k ö d ö s	k ö d ö s
m e z ő n	m e z ő n
t e r e t	t e r e t
h i d a t	h i d a t
s ü t é s	s ü t é s
t e l i k	t e l i k
d a v i d	d a v i d
h o z t a	h o z t a
h a v a s	h a v a s
v a j o n	v a j o n
v é g b e	v é g b e
m é h e n	m é h e n
k ü l s ő	k ü l s ő
t é g l a	t é g l a
é l é n k	é l é n k
ó k o r i	ó k o r i
j o g o t	j o g o t
m u l t i	m u l t i
s i k e r	s i k e r
v á r j a	v á r j a
i n d u l	i n d u l
v á r v a	v á r v a
b ú v á r	b ú v á r
ő r ü l t	ő r ü l t
f e h é r	f e h é r
f e l ü l	f e l ü l
j ó s k a	j ó s k a
é v n e k	é v n e k
n e k e m	n e k e m
l a j o s	l a j o s
n e v e d	n e v e d
i g a z i	i g a z i
b e t e g	b e t e g
d a l o l	d a l o l
a z é r t	a z é r t
v i t á s	v i t á s
r o h a n	r o h a n
l é l e k	l é l e k
l e p k e	l e p k e
e s t e k	e s t e k
k ö v e k	k ö v e k
f a r a g	f a r a g
ö r d ö g	ö r d ö g
p o s t a	p o s t a
i n t i m	i n t i m
u g r i k	u g r i k
í r t a m	í r t a m
k ö t e t	k ö t e t
k e z é t	k e z é t
n e t e n	n e t e n
í r ó n ő	í r ó n ő
m ó d o t	m ó d o t
h i b á t	h i b á t
e l ő l e	e l ő l e
á t l a g	á t l a g
b ű n ö s	b ű n ö s
e l s ő k	e l s ő k
d u r v a	d u r v a
t u d á s	t u d á s
m e r e k	m e r e k
á r b ó c	á r b ó c
g i t á r	g i t á r
m á s r a	m á s r a
l á t n i	l á t n i
l a p o n	l a p o n
é r h e t	é r h e t
m o z o g	m o z o g
n é z v e	n é z v e
b é r e n	b é r e n
k é s é s	k é s é s
é l é r e	é l é r e
f é r f i	f é r f i
k e z e l	k e z e l
b ú t o r	b ú t o r
p a k s i	p a k s i
p m	p m
d b	d a r a b
w h o	v é h á ó
f i a m	f i a m
p i a c	p i a c
i d e i	i d e i
m á i g	m á i g
í r ó i	í r ó i
f i ó k	f i ó k
é v e i	é v e i
á r a i	á r a i
o k a i	o k a i
j á r n i	j á r n i
h á t u l	h á t u l
a n t a l	a n t a l
f ö l d i	f ö l d i
v i z e t	v i z e t
p a d o n	p a d o n
t á r c a	t á r c a
h o n d a	h o n d a
a d u n k	a d u n k
j ó l é t	j ó l é t
o r b á n	o r b á n
k á r o s	k á r o s
v i s e l	v i s e l
n é m e t	n é m e t
m o b i l	m o b i l
s ö p ö r	s ö p ö r
v é l i k	v é l i k
k a p u s	k a p u s
é v t ő l	é v t ő l
í r n a k	í r n a k
k ö r ö k	k ö r ö k
t u c a t	t u c a t
m e n e t	m e n e t
a k a r d	a k a r d
a l á n k	a l á n k
z á r o m	z á r o m
z á r n i	z á r n i
t a r t ó	t a r t ó
ü z l e t	ü z l e t
k ö z ü l	k ö z ü l
á l m á t	á l m á t
á s n a k	á s n a k
ú j h o z	ú j h o z
a l b u m	a l b u m
h é t e n	h é t e n
c í m é t	c í m é t
m é r ő k	m é r ő k
p i r o s	p i r o s
k ó r o s	k ó r o s
m o z g ó	m o z g ó
n a p j a	n a p j a
v á l n i	v á l n i
f o d o r	f o d o r
s e n k i	s e n k i
l i t e r	l i t e r
t i t k a	t i t k a
r a j t a	r a j t a
l á b a m	l á b a m
k o r á n	k o r á n
l e l k i	l e l k i
t e r e p	t e r e p
v o n á s	v o n á s
m a g a d	m a g a d
t e r v e	t e r v e
e s t i g	e s t i g
n ő h e t	n ő h e t
h í r e s	h í r e s
p e n g ő	p e n g ő
h í r ü l	h í r ü l
m a g á t	m a g á t
t é r e n	t é r e n
b e t o n	b e t o n
k a p n i	k a p n i
e r k e l	e r k e l
p e r e s	p e r e s
r í m e k	r í m e k
l á b a d	l á b a d
k é z r e	k é z r e
a m i r e	a m i r e
m o d u l	m o d u l
j ö h e t	j ö h e t
j ó k a t	j ó k a t
é l t e t	é l t e t
c é g e k	c é g e k
t á b l a	t á b l a
h a t á r	h a t á r
f o g n i	f o g n i
v e z e t	v e z e t
p i s t i	p i s t i
j é z u s	j é z u s
s i m o n	s i m o n
k e l e t	k e l e t
o r v o s	o r v o s
h í v n i	h í v n i
l e j á r	l e j á r
g á g o g	g á g o g
m o h a r	m o h a r
e r d ő k	e r d ő k
h í r e k	h í r e k
e n d r e	e n d r e
