m o j ˧˧	m o j ˧˧
h ï k̟̚ ˧˦	h ï k̟̚ ˧˦
n aː n ˧˦	n aː n ˧˦
l ə j ˧˦	l ə j ˧˦
z a p̚ ˧˦	z a p̚ ˧˦
ʔ aː ŋ ˧˧	ʔ aː ŋ ˧˧
t w ɛ ˧˦	t w ɛ ˧˦
s ɨ ə ˧˧	s ɨ ə ˧˧
ʔ ɨ ŋ ˧˦	ʔ ɨ ŋ ˧˦
h a t̚ ˧˦	h a t̚ ˧˦
k aː n ˧˦	k aː n ˧˦
l i m ˧˧	l i m ˧˧
t ə w ˧˧	t ə w ˧˧
t ɔ m ˦ˀ˥	t ɔ m ˦ˀ˥
v aː k̚ ˧˦	v aː k̚ ˧˦
m ə w ˧˩	m ə w ˧˩
ɣ aː n ˧˧	ɣ aː n ˧˧
k ə m ˧˦	k ə m ˧˦
h w aː ˧˦	h w aː ˧˦
h e n ˧˦	h e n ˧˦
z a n ˨˩	z a n ˨˩
m u ə ˨˩	m u ə ˨˩
m ɔ m ˧˦	m ɔ m ˧˦
l ə p̚ ˧˦	l ə p̚ ˧˦
v ɨ t̚ ˧˦	v ɨ t̚ ˧˦
l aː m ˧˧	l aː m ˧˧
ɲ ɔ ˧˨ ʔ	ɲ ɔ ˧˨ ʔ
z ɛ p̚ ˧˦	z ɛ p̚ ˧˦
m əː m ˧˦	m əː m ˧˦
s əː n ˨˩	s əː n ˨˩
s əː j ˧˦	s əː j ˧˦
ʔ a ŋ ˧˩	ʔ a ŋ ˧˩
m a j ˧˧	m a j ˧˧
z a j ˨˩	z a j ˨˩
m a m ˧˧	m a m ˧˧
v u j ˨˩	v u j ˨˩
z o j ˧˦	z o j ˧˦
k aː j ˦ˀ˥	k aː j ˦ˀ˥
k i ə ˨˩	k i ə ˨˩
h a n ˧˦	h a n ˧˦
t əː m ˧˩	t əː m ˧˩
ɣ ɛ ˧˨ ʔ	ɣ ɛ ˧˨ ʔ
h o m ˧˩	h o m ˧˩
m a j ˧˦	m a j ˧˦
k o n ˧˧	k o n ˧˧
l i p̚ ˧˦	l i p̚ ˧˦
k ɔ t̚ ˧˦	k ɔ t̚ ˧˦
t ə w ˧˦	t ə w ˧˦
z ɨ t̚ ˧˦	z ɨ t̚ ˧˦
m ɔ j ˧˧	m ɔ j ˧˧
v ə j ˦ˀ˥	v ə j ˦ˀ˥
ɣ ə p̚ ˧˦	ɣ ə p̚ ˧˦
m ɔ n ˨˩	m ɔ n ˨˩
k əː m ˧˦	k əː m ˧˦
n i ə ˦ˀ˥	n i ə ˦ˀ˥
z aː m ˧˦	z aː m ˧˦
s u p̚ ˧˦	s u p̚ ˧˦
s ɛ t̚ ˧˦	s ɛ t̚ ˧˦
s aː t̚ ˧˦	s aː t̚ ˧˦
k əː m ˧˧	k əː m ˧˧
