i ʑ i ɾ ɯ̟ᵝ	i ʑ i ɾ ɯ̟ᵝ
t ẽ̞ ŋ ɡ a̠	t ẽ̞ ŋ ɡ a̠
ɡ a̠ i ɡ o̞	ɡ a̠ i ɡ o̞
i j a̠ s ɨᵝ	i j a̠ s ɨᵝ
kʲ i s õ̞ ɴ	kʲ i s õ̞ ɴ
ɕ i d ẽ̞ ɴ	ɕ i d ẽ̞ ɴ
t͡s ɨᵝ i z o̞	t͡s ɨᵝ i z o̞
ɯ̟ᵝ d e̞ ɰᵝ a̠	ɯ̟ᵝ d e̞ ɰᵝ a̠
a̠ k e̞ bʲ i	a̠ k e̞ bʲ i
ɲ̟ i n a̠ ɯ̟ᵝ	ɲ̟ i n a̠ ɯ̟ᵝ
k a̠ s a̠ i	k a̠ s a̠ i
a̠ bʲ i ɾ ɯ̟ᵝ	a̠ bʲ i ɾ ɯ̟ᵝ
a̠ t͡s ɨᵝ ɕ i	a̠ t͡s ɨᵝ ɕ i
a̠ k ɯ̟ᵝ m ɯ̟ᵝ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
d͡z ɨᵝ kʲ ĩ ɴ	d͡z ɨᵝ kʲ ĩ ɴ
d͡z ẽ̞ m b ɯ̟ᵝ	d͡z ẽ̞ m b ɯ̟ᵝ
i z ɨᵝ k o̞	i z ɨᵝ k o̞
ɾ ɯ̟ᵝ i ʑ i	ɾ ɯ̟ᵝ i ʑ i
a̠ ɾ e̞ ɾ ɯ̟ᵝ	a̠ ɾ e̞ ɾ ɯ̟ᵝ
s a̠ s ẽ̞ ɴ	s a̠ s ẽ̞ ɴ
ɡ ɯ̟̃ᵝ ŋ k a̠	ɡ ɯ̟̃ᵝ ŋ k a̠
ɲ̟ i o̞ ɕ i	ɲ̟ i o̞ ɕ i
j o̞ a̠ t͡s ɨᵝ	j o̞ a̠ t͡s ɨᵝ
h õ̞ ŋʲ kʲ i	h õ̞ ŋʲ kʲ i
ɡʲ ĩ ŋ ɡ a̠	ɡʲ ĩ ŋ ɡ a̠
a̠ j a̠ m e̞	a̠ j a̠ m e̞
t a̠ i k ɯ̟ᵝ	t a̠ i k ɯ̟ᵝ
h a̠ j a̠ i	h a̠ j a̠ i
n ã̠ n d e̞	n ã̠ n d e̞
o̞ ɕ i ɾʲ i	o̞ ɕ i ɾʲ i
kʲ i d a̠ i	kʲ i d a̠ i
k a̠ i s a̠	k a̠ i s a̠
s ẽ̞ n d o̞	s ẽ̞ n d o̞
h a̠ m õ̞ ɴ	h a̠ m õ̞ ɴ
k a̠ s ɨᵝ i	k a̠ s ɨᵝ i
k ɯ̟ᵝ ɾ o̞ i	k ɯ̟ᵝ ɾ o̞ i
k a̠ z a̠ i	k a̠ z a̠ i
i n a̠ ɡ o̞	i n a̠ ɡ o̞
ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ	ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
i t͡ɕ i j a̠	i t͡ɕ i j a̠
ɡ ɯ̟ᵝ t a̠ i	ɡ ɯ̟ᵝ t a̠ i
o̞ j a̠ ʑ i	o̞ j a̠ ʑ i
ɸ ɯ̟ᵝ t o̞ i	ɸ ɯ̟ᵝ t o̞ i
s o̞ n a̠ e̞	s o̞ n a̠ e̞
k o̞ k̚ k a̠	k o̞ k̚ k a̠
mʲ i t͡s ɨᵝ o̞	mʲ i t͡s ɨᵝ o̞
b ẽ̞ m pʲ i	b ẽ̞ m pʲ i
ç i m ẽ̞ ɴ	ç i m ẽ̞ ɴ
m ẽ̞ ɰ̃ ɕ i	m ẽ̞ ɰ̃ ɕ i
kʲ i ɾ a̠ ɯ̟ᵝ	kʲ i ɾ a̠ ɯ̟ᵝ
ɯ̟ᵝ s ɨᵝ m e̞	ɯ̟ᵝ s ɨᵝ m e̞
t a̠ k a̠ i	t a̠ k a̠ i
d e̞ k a̠ i	d e̞ k a̠ i
ɾʲ i k ã̠ ɴ	ɾʲ i k ã̠ ɴ
kʲ i̥ t͡s ɨᵝ i	kʲ i̥ t͡s ɨᵝ i
a̠ ɾ a̠ m e̞	a̠ ɾ a̠ m e̞
i k a̠ s ɨᵝ	i k a̠ s ɨᵝ
k ẽ̞ ɲ̟ d͡ʑ i	k ẽ̞ ɲ̟ d͡ʑ i
k a̠ z ɨᵝ o̞	k a̠ z ɨᵝ o̞
ç i d ẽ̞ ɴ	ç i d ẽ̞ ɴ
i ɾ e̞ ɾ ɯ̟ᵝ	i ɾ e̞ ɾ ɯ̟ᵝ
j a̠ k̚ʲ kʲ i	j a̠ k̚ʲ kʲ i
o̞ k a̠ ɾ a̠	o̞ k a̠ ɾ a̠
s a̠ k ã̠ ɴ	s a̠ k ã̠ ɴ
i k ɯ̟ᵝ t a̠	i k ɯ̟ᵝ t a̠
i ɾ o̞ k e̞	i ɾ o̞ k e̞
t o̞ kʲ ĩ ɴ	t o̞ kʲ ĩ ɴ
o̞ k o̞ s ɨᵝ	o̞ k o̞ s ɨᵝ
ɕ i ɡ e̞ o̞	ɕ i ɡ e̞ o̞
o̞ d e̞ k o̞	o̞ d e̞ k o̞
k e̞ h a̠ i	k e̞ h a̠ i
s ã̠ m p o̞	s ã̠ m p o̞
ɕ ĩ n ɾ a̠	ɕ ĩ n ɾ a̠
a̠ b a̠ k ɯ̟ᵝ	a̠ b a̠ k ɯ̟ᵝ
d o̞ b ɯ̟̃ᵝ ɴ	d o̞ b ɯ̟̃ᵝ ɴ
k ã̠ m p o̞	k ã̠ m p o̞
kʲ ĩ ɰ̃ ɕ i	kʲ ĩ ɰ̃ ɕ i
t̚ t e̞ b a̠	t̚ t e̞ b a̠
mʲ i e̞ ɾ ɯ̟ᵝ	mʲ i e̞ ɾ ɯ̟ᵝ
i t͡ɕ i b ɯ̟ᵝ	i t͡ɕ i b ɯ̟ᵝ
n e̞ m ɯ̟ᵝ i	n e̞ m ɯ̟ᵝ i
d͡ʑ i j ɯ̟ᵝː	d͡ʑ i j ɯ̟ᵝː
s o̞ s o̞ː	s o̞ s o̞ː
ɰᵝ a̠ ɕ o̞	ɰᵝ a̠ ɕ o̞
t o̞ː k ɯ̟ᵝ	t o̞ː k ɯ̟ᵝ
ɾ o̞ː b a̠	ɾ o̞ː b a̠
ɾʲ i j o̞ː	ɾʲ i j o̞ː
d a̠ k ẽ̞ ɴ	d a̠ k ẽ̞ ɴ
k a̠ e̞ s ɨᵝ	k a̠ e̞ s ɨᵝ
b ɯ̟ᵝ b ɯ̟̃ᵝ ɴ	b ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
ɸ ɯ̟̃ᵝ n d o̞	ɸ ɯ̟̃ᵝ n d o̞
ɸ ɯ̟ᵝ bʲ ĩ ɴ	ɸ ɯ̟ᵝ bʲ ĩ ɴ
o̞ ɾʲ i ɾ ɯ̟ᵝ	o̞ ɾʲ i ɾ ɯ̟ᵝ
j a̠ ɡ a̠ i	j a̠ ɡ a̠ i
m ẽ̞ ŋ k a̠	m ẽ̞ ŋ k a̠
h a̠ o̞ ɾʲ i	h a̠ o̞ ɾʲ i
ɯ̟ᵝ s a̠ ɡʲ i	ɯ̟ᵝ s a̠ ɡʲ i
n ã̠ ŋ k a̠	n ã̠ ŋ k a̠
k o̞ ɰᵝ a̠ i	k o̞ ɰᵝ a̠ i
ɰᵝ a̠ s ã̠ ɴ	ɰᵝ a̠ s ã̠ ɴ
i n ɯ̟ᵝ k a̠	i n ɯ̟ᵝ k a̠
n a̠ o̞ kʲ i	n a̠ o̞ kʲ i
t o̞ t̚ t e̞	t o̞ t̚ t e̞
ɕ ĩ n ɾ o̞	ɕ ĩ n ɾ o̞
ɯ̟ᵝ m e̞ k ɯ̟ᵝ	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
ɰᵝ a̠ p̚ p a̠	ɰᵝ a̠ p̚ p a̠
a̠ ɰᵝ a̠ s ɨᵝ	a̠ ɰᵝ a̠ s ɨᵝ
