k ɛ tː øː	k ɛ tː øː
v ø l ɟ	v ø l ɟ
eː <<unk>> ɛ l	eː <unk> ɛ l
t i s t	t i s t
y ɟ ɛ t	y ɟ ɛ t
ʃ o rː ɒ	ʃ o rː ɒ
t o nː ɒ	t o nː ɒ
r ɒ bː i	r ɒ bː i
i zː o k	i zː o k
o ʃ c ɒ	o ʃ c ɒ
t ø bː ɛ	t ø bː ɛ
i lː i k	i lː i k
k o t͡ʃ i	k o t͡ʃ i
f ɒ rː ɒ	f ɒ rː ɒ
s oː l oː	s oː l oː
o s eː t	o s eː t
t ø bː eː	t ø bː eː
ɛ j d͡ʒ d	ɛ j d͡ʒ d
k i t͡ʃ i	k i t͡ʃ i
m oː ɟː ɒ	m oː ɟː ɒ
t ɛ nː eː	t ɛ nː eː
t ɛ ɟ ɛ	t ɛ ɟ ɛ
ɒ tː aː l	ɒ tː aː l
ɛ kː o r	ɛ kː o r
ɒ ɦ o ɟ	ɒ ɦ o ɟ
ɒ ɲ ɒ ɡ	ɒ ɲ ɒ ɡ
y nː ɛ p	y nː ɛ p
ɒ m ɛ j	ɒ m ɛ j
s aː j ɒ	s aː j ɒ
s o b ɒ	s o b ɒ
d ɛ ʒ øː	d ɛ ʒ øː
ɒ ɦ o z	ɒ ɦ o z
r eː s t	r eː s t
s oː j ɒ	s oː j ɒ
ɒ tː ɒ k	ɒ tː ɒ k
k ø ɲ v	k ø ɲ v
ɒ m uː ɟ	ɒ m uː ɟ
ɛ ʃ eː j	ɛ ʃ eː j
v ɛ tː ɛ	v ɛ tː ɛ
uː rː ɒ l	uː rː ɒ l
ɒ bː ɒ n	ɒ bː ɒ n
j ø nː i	j ø nː i
ɛ zː ɛ l	ɛ zː ɛ l
ɒ rː oː l	ɒ rː oː l
h ɛ j ɛ	h ɛ j ɛ
t͡ʃ o k i	t͡ʃ o k i
s iː n yː	s iː n yː
ɛ ɟː i k	ɛ ɟː i k
v i s i	v i s i
o l t͡ʃ oː	o l t͡ʃ oː
i d eː ɲ	i d eː ɲ
t r y kː	t r y kː
t͡s i kː ɛ	t͡s i kː ɛ
eː s r ɛ	eː s r ɛ
n u lː ɒ	n u lː ɒ
r aː zː ɒ	r aː zː ɒ
b ø l t͡ʃ	b ø l t͡ʃ
s iː n t	s iː n t
h ɛ j i	h ɛ j i
s uː r t	s uː r t
ɒ bː oː l	ɒ bː oː l
ɒ nː ɒ k	ɒ nː ɒ k
i j ɛ t	i j ɛ t
ɛ nː ɛ k	ɛ nː ɛ k
ɟ o r ʃ	ɟ o r ʃ
uː cː aː n	uː cː aː n
l ɛ nː i	l ɛ nː i
k u l t͡ʃ	k u l t͡ʃ
y jː ø n	y jː ø n
b aː t͡ʃ i	b aː t͡ʃ i
ʒ yː r i	ʒ yː r i
h y j ɛ	h y j ɛ
l aː ɲ ɒ	l aː ɲ ɒ
s ɛ m ɛ	s ɛ m ɛ
t ɛ tː ɛ	t ɛ tː ɛ
v i tː ɛ	v i tː ɛ
uː s n i	uː s n i
p u s i	p u s i
aː lː aː ʃ	aː lː aː ʃ
y ɟ ɛ k	y ɟ ɛ k
aː ɟ o n	aː ɟ o n
uː cː u k	uː cː u k
ɛ ɲ eː m	ɛ ɲ eː m
s øː l øː	s øː l øː
t ø r ʒ	t ø r ʒ
i j ɛ n	i j ɛ n
h i s i	h i s i
t ø r s	t ø r s
s aː n t	s aː n t
ɛ rː øː l	ɛ rː øː l
ɛ ɟ eː l	ɛ ɟː eː l
k ɒ p s	k ɒ p s
ɟ u l ɒ	ɟ u l ɒ
ɛ lː ɛ n	ɛ lː ɛ n
z i t͡ʃ i	z i t͡ʃ i
r oː ʒ ɒ	r oː ʒ ɒ
o j ɒ n	o j ɒ n
ɒ ɟ ɒ ɡ	ɒ ɟ ɒ ɡ
l ɒ ʃː uː	l ɒ ʃː uː
ɒ r ɒ ɲ	ɒ r ɒ ɲ
b ɛ nː ɛ	b ɛ nː ɛ
t͡ʃ o n t	t͡ʃ o n t
s ɛ r t	s ɛ r t
eː pː ɛ n	eː pː ɛ n
ɛ ʃ ɛ tː	ɛ ʃ ɛ tː
v ɛ nː i	v ɛ nː i
iː r o tː	iː r o tː
ɲ i t oː	ɲ i t oː
b ɒ rː ɒ	b ɒ rː ɒ
h i nː i	h i nː i
o nː ɒ n	o nː ɒ n
h o zː ɒ	h o zː ɒ
t ɛ nː i	t ɛ nː i
s oː l t	s oː l t
aː lː ɒ t	aː lː ɒ t
eː ɡ ɛ tː	eː ɡ ɛ tː
n i n t͡ʃ	n i n t͡ʃ
ɛ bː øː l	ɛ bː øː l
ɲ o m ɒ	ɲ o m ɒ
ɲ aː r i	ɲ aː r i
l aː cː ɒ	l aː cː ɒ
o r o s	o r o s
t͡s eː jː ɒ	t͡s eː jː ɒ
ʃ ɛ mː i	ʃ ɛ mː i
eː jː ɛ l	eː jː ɛ l
l o tː i	l o tː i
v aː ɟ ɒ	v aː ɟ ɒ
s oː b ɒ	s oː b ɒ
m ɛ nː i	m ɛ nː i
l ɛ nː ɛ	l ɛ nː ɛ
ɛ l øː bː	ɛ l øː bː
ɡ ø r t͡ʃ	ɡ ø r t͡ʃ
ʃ uː j ɒ	ʃ uː j ɒ
p eː t͡ʃ i	p eː t͡ʃ i
t u tː ɒ	t u tː ɒ
k ɛ lː øː	k ɛ lː øː
t u t͡sː	t u t͡sː
ɛ ɲː i	ɛ ɲː i
ɟ aː s	ɟ aː s
r o sː	r o sː
ɒ ɲː i	ɒ ɲː i
t͡ʃ uː t͡ʃ	t͡ʃ uː t͡ʃ
s ɛ bː	s ɛ bː
l aː t͡sː	l aː t͡sː
aː jː ɒ	aː jː ɒ
s oː jː	s oː jː
ø sː ɛ	ø sː ɛ
s aː lː	s aː lː
m ɛ t͡ʃː	m ɛ t͡ʃː
o sː ɒ	o sː ɒ
ɡ o j oː	ɡ o j oː
ɒ ɲː ɒ	ɒ ɲː ɒ
h uː zː ɒ	h uː zː ɒ
s aː m uː	s aː m uː
s ɛ r v	s ɛ r v
ɲ ɛ r ʃ	ɲ ɛ r ʃ
ɒ v ɒ ɟ	ɒ v ɒ ɟ
aː lː ɒ m	aː lː ɒ m
j oː ʒ i	j oː ʒ i
h o zː aː	h o zː aː
t ø bː i	t ø bː i
ɛ ɟ eː b	ɛ ɟː eː b
t͡s eː rː ɒ	t͡s eː rː ɒ
m o ɲ ɟ	m o ɲ ɟ
aː l v ɒ	aː l v ɒ
ɒ zː ɒ l	ɒ zː ɒ l
i nː ɛ n	i nː ɛ n
ɛ nː eː l	ɛ nː eː l
t i s ɒ	t i s ɒ
t eː ɲ ɛ	t eː ɲ ɛ
i mː aː r	i mː aː r
ʃ ɛ ɡː ɛ	ʃ ɛ ɡː ɛ
ɲ ɛ r t	ɲ ɛ r t
y t ø tː	y t ø tː
ɛ ɟ r ɛ	ɛ ɟ r ɛ
h u ɲ t	h u ɲ t
ɡ ɒ mː ɒ	ɡ ɒ mː ɒ
t͡ʃ o d ɒ	t͡ʃ o d ɒ
ɛ h ɛ z	ɛ h ɛ z
ɛ s i k	ɛ s i k
ʃ i n t͡ʃ	ʃ i n t͡ʃ
ɛ ɟː ɛ t	ɛ ɟː ɛ t
s aː m ɒ	s aː m ɒ
u t͡sː aː t	u t͡sː aː t
ɛ dː i ɡ	ɛ dː i ɡ
h u lː ɒ	h u lː ɒ
eː r t͡ʃ ɛ	eː r t͡ʃ ɛ
k u s ɒ	k u s ɒ
t u ɟː ɒ	t u ɟː ɒ
v i ɟ ɛ	v i ɟ ɛ
ɒ l ɒ ɲ	ɒ l ɒ ɲ
ɒ ɟː aː k	ɒ ɟː aː k
v ɛ nː eː	v ɛ nː eː
h y lː øː	h y lː øː
t͡ʃ i ɡ ɒ	t͡ʃ i ɡ ɒ
ɒ l aː bː	ɒ l aː bː
ɒ d o tː	ɒ d o tː
ɲ uː j t	ɲ uː j t
ɒ dː i ɡ	ɒ dː i ɡ
ɛ ɡ eː s	ɛ ɡ eː s
ɛ l ɛ n	ɒ lː ɛ n
h i nː eː	h i nː eː
f r i ʃː	f r i ʃː
s eː n ɒ	s eː n ɒ
l eː l ɛ k	l eː l ɛ k
v i nː ɛ	v i nː ɛ
l eː t͡sː i	l eː t͡sː i
ø nː ɛ k	ø nː ɛ k
o l ɒ s	o l ɒ s
ɟ yː l t	ɟ yː l t
f o j t	f o j t
d eː rː ɛ	d eː rː ɛ
ɲ iː l t	ɲ iː l t
f o ɟ oː	f o ɟ oː
s øː k ɛ	s øː k ɛ
aː rː ɒ l	aː rː ɒ l
ɛ bː ɛ n	ɛ bː ɛ n
h iː v aː ʃ	h iː v aː ʃ
ɛ m b ɛ r	ɛ m b ɛ r
ɡ aː r d ɒ	ɡ aː r d ɒ
b oː v l i	b oː v l i
f eː l i ɡ	f eː l i ɡ
t o r t ɒ	t o r t ɒ
i d ɛ j ɛ	i d ɛ j ɛ
d aː v i d	d aː v i d
eː r t eː k	eː r t eː k
t ɛ j ɛ t	t ɛ j ɛ t
v o n t ɒ	v o n t ɒ
v aː l i k	v aː l i k
t͡s i p ɛ l	t͡s i p ɛ l
h ɛ t ɛ ʃ	h ɛ t ɛ ʃ
v aː r n i	v aː r n i
n ɒ p o t	n ɒ p o t
n eː z ɛ k	n eː z ɛ k
eː r v ɛ k	eː r v ɛ k
m ɒ ɡ ɒ m	m ɒ ɡ ɒ m
t aː j ɒ k	t aː j ɒ k
ɛ l v aː r	ɛ l v aː r
v iː z ɛ n	v iː z ɛ n
l aː b aː n	l aː b aː n
r o m aː n	r o m aː n
t u d n i	t u d n i
j aː r u l	j aː r u l
k i k r ɛ	k i k r ɛ
m eː r øː k	m eː r øː k
ɒ k ɒ r d	ɒ k ɒ r d
ɒ l aː ŋ k	ɒ l aː ŋ k
z aː r o m	z aː r o m
z aː r n i	z aː r n i
t ɒ r t oː	t ɒ r t oː
y z l ɛ t	y z l ɛ t
k ø z y l	k ø z y l
aː l m aː t	aː l m aː t
aː ʃ n ɒ k	aː ʃ n ɒ k
k ɒ p u ʃ	k ɒ p u ʃ
ɒ l b u m	ɒ l b u m
h eː t ɛ n	h eː t ɛ n
t͡s iː m eː t	t͡s iː m eː t
n eː p ɛ k	n eː p ɛ k
p i r o ʃ	p i r o ʃ
k oː r o ʃ	k oː r o ʃ
m o z ɡ oː	m o z ɡ oː
n ɒ p j ɒ	n ɒ p j ɒ
v aː l n i	v aː l n i
f o d o r	f o d o r
ʃ ɛ ŋ k i	ʃ ɛ ŋ k i
l i t ɛ r	l i t ɛ r
t i t k ɒ	t i t k ɒ
r ɒ j t ɒ	r ɒ j t ɒ
l ɒ j o ʃ	l ɒ j o ʃ
b ɒ r n ɒ	b ɒ r n ɒ
f ɛ ɦ eː r	f ɛ ɦ eː r
f o ɡ o k	f o ɡ o k
m aː r k ɒ	m aː r k ɒ
m eː t ɛ r	m eː t ɛ r
l ɛ l k ɛ	l ɛ l k ɛ
oː k o r i	oː k o r i
j o ɡ o t	j o ɡ o t
m u l t i	m u l t i
ʃ i k ɛ r	ʃ i k ɛ r
v aː r j ɒ	v aː r j ɒ
i n d u l	i n d u l
v aː r v ɒ	v aː r v ɒ
b uː v aː r	b uː v aː r
øː r y l t	øː r y l t
p eː l d ɒ	p eː l d ɒ
f ɛ l y l	f ɛ l y l
j oː ʃ k ɒ	j oː ʃ k ɒ
eː v n ɛ k	eː v n ɛ k
n ɛ k ɛ m	n ɛ k ɛ m
eː l eː ŋ k	eː l eː ŋ k
n ɛ v ɛ d	n ɛ v ɛ d
i ɡ ɒ z i	i ɡ ɒ z i
b ɛ t ɛ ɡ	b ɛ t ɛ ɡ
d ɒ l o l	d ɒ l o l
ɒ z eː r t	ɒ z eː r t
v i t aː ʃ	v i t aː ʃ
r o ɦ ɒ n	r o ɦ ɒ n
f øː n eː l	f øː n eː l
l o b o ɡ	l o b o ɡ
t ø r ø k	t ø r ø k
ʃ aː v o ʃ	ʃ aː v o ʃ
iː r t u k	iː r t u k
p i r i t	p i r i t
i n t i k	i n t i k
f ɛ l eː t	f ɛ l eː t
eː v b ɛ n	eː v b ɛ n
t ɒ ɡ o k	t ɒ ɡ o k
m ɒ r ʃ i	m ɒ r ʃ i
v i z ɛ k	v i z ɛ k
ɛ l ʃ øː t	ɛ l ʃ øː t
t o r n ɒ	t o r n ɒ
ɒ ɲ oː ʃ	ɒ ɲ oː ʃ
l ɒ p o k	l ɒ p o k
h aː t h ɒ	h aː t h ɒ
f ɛ j eː r	f ɛ j eː r
b eː k eː ʃ	b eː k eː ʃ
ɒ l ɒ k uː	ɒ l ɒ k uː
f o r m ɒ	f o r m ɒ
ʃ ɒ j t oː	ʃ ɒ j t oː
eː v n eː l	eː v n eː l
m eː ɦ ɛ k	m eː ɦ ɛ k
f øː v ɛ l	f øː v ɛ l
l ɒ t i n	l ɒ t i n
k y l ø n	k y l ø n
ʃ ø p ø r	ʃ ø p ø r
p ɒ k ʃ i	p ɒ k ʃ i
f ø l d i	f ø l d i
v i z ɛ t	v i z ɛ t
p ɒ d o n	p ɒ d o n
t aː r t͡s ɒ	t aː r t͡s ɒ
h o n d ɒ	h o n d ɒ
ɒ d u ŋ k	ɒ d u ŋ k
j oː l eː t	j oː l eː t
o r b aː n	o r b aː n
k aː r o ʃ	k aː r o ʃ
v i ʃ ɛ l	v i ʃ ɛ l
n eː m ɛ t	n eː m ɛ t
m o b i l	m o b i l
h aː t u l	h aː t u l
v eː l i k	v eː l i k
m ɛ r ɛ k	m ɛ r ɛ k
u ɡ r i k	u ɡ r i k
iː r t ɒ m	iː r t ɒ m
k ø t ɛ t	k ø t ɛ t
k ɛ z eː t	k ɛ z eː t
n ɛ t ɛ n	n ɛ t ɛ n
iː r oː n øː	iː r oː n øː
m oː d o t	m oː d o t
h i b aː t	h i b aː t
ɛ l øː l ɛ	ɛ l øː l ɛ
aː t l ɒ ɡ	aː t l ɒ ɡ
ɒ l ɒ tː	ɒ l ɒ tː
m ɛ n ɛ t	m ɛ n ɛ t
v ɛ ɟ ɛ	v ɛ ɟ ɛ
u t͡sː aː n	u t͡sː aː n
ʒ oː f i	ʒ oː f i
s l aː v	s l aː v
l aː ɲ t	l aː ɲ t
t͡ʃ ɒ b ɒ	t͡ʃ ɒ b ɒ
m ɛ nː ɛ	m ɛ nː ɛ
r øː ʒ ɛ	r øː ʒ ɛ
h ø l ɟ	h ø l ɟ
uː j ɒ bː	uː j ɒ bː
t͡ʃ u p ɒ	t͡ʃ u p ɒ
k ɛ dː i	k ɛ dː i
t u t͡s ɒ t	t u t͡s ɒ t
f o k s	f o k s
ɒ nː aː l	ɒ nː aː l
p ɒ j ʒ	p ɒ j ʒ
ø nː ɛ l	ø nː ɛ l
ɛ ɟ eː n	ɛ ɟː eː n
ɒ jː aː n	ɒ jː aː n
f y ɡː øː	f y ɡː øː
v ɛ s i	v ɛ s i
k u c ɒ	k u c ɒ
i r aː ɲ	i r aː ɲ
y ɟ ɛ ʃ	y ɟ ɛ ʃ
j aː r n i	j aː r n i
m o d u l	m o d u l
h iː r ɛ ʃ	h iː r ɛ ʃ
p ɛ ŋ ɡ øː	p ɛ ŋ ɡ øː
h iː r y l	h iː r y l
m ɒ ɡ aː t	m ɒ ɡ aː t
t eː r ɛ n	t eː r ɛ n
b ɛ t o n	b ɛ t o n
l aː b ɒ m	l aː b ɒ m
ɛ r k ɛ l	ɛ r k ɛ l
p ɛ r ɛ ʃ	p ɛ r ɛ ʃ
r iː m ɛ k	r iː m ɛ k
l aː b ɒ d	l aː b ɒ d
k eː z r ɛ	k eː z r ɛ
ɒ m i r ɛ	ɒ m i r ɛ
ɛ l ʃ øː k	ɛ l ʃ øː k
j ø ɦ ɛ t	j ø ɦ ɛ t
j oː k ɒ t	j oː k ɒ t
eː l t ɛ t	eː l t ɛ t
t͡s eː ɡ ɛ k	t͡s eː ɡ ɛ k
t aː b l ɒ	t aː b l ɒ
h ɒ t aː r	h ɒ t aː r
f o ɡ n i	f o ɡ n i
uː j ɦ o z	uː j ɦ o z
eː f t øː l	eː f t øː l
iː r n ɒ k	iː r n ɒ k
k ø r ø k	k ø r ø k
b yː n ø ʃ	b yː n ø ʃ
ɛ ʃ t i ɡ	ɛ ʃ t i ɡ
n øː ɦ ɛ t	n øː ɦ ɛ t
d u r v ɒ	d u r v ɒ
t u d aː ʃ	t u d aː ʃ
i n t i m	i n t i m
aː r b oː t͡s	aː r b oː t͡s
ɡ i t aː r	ɡ i t aː r
m aː ʃ r ɒ	m aː ʃ r ɒ
l aː t n i	l aː t n i
l ɒ p o n	l ɒ p o n
eː r ɦ ɛ t	eː r ɦ ɛ t
m o z o ɡ	m o z o ɡ
n eː z v ɛ	n eː z v ɛ
b eː r ɛ n	b eː r ɛ n
eː l eː r ɛ	eː l eː r ɛ
k eː ʃ eː ʃ	k eː ʃ eː ʃ
t ɛ r v ɛ	t ɛ r v ɛ
m ɒ ɡ ɒ d	m ɒ ɡ ɒ d
v o n aː ʃ	v o n aː ʃ
t ɛ r ɛ p	t ɛ r ɛ p
l ɛ l k i	l ɛ l k i
k o r aː n	k o r aː n
ɒ n t ɒ l	ɒ n t ɒ l
b uː t o r	b uː t o r
k ɛ z ɛ l	k ɛ z ɛ l
f eː r f i	f eː r f i
k ɒ r uː	k ɒ r uː
ɡ eː p i	ɡ eː p i
ɛ l ø l	ɛ l ø l
f i l m	f i l m
u t ɒ ʃ	u t ɒ ʃ
ɡ u t ɒ	ɡ u t ɒ
eː l ɛ k	eː l ɛ k
ɒ j k ɒ	ɒ j k ɒ
r o m ɒ	r o m ɒ
t eː r t	t eː r t
eː b ɛ r	eː b ɛ r
l eː ɡ i	l eː ɡ i
ɒ k aː r	ɒ k aː r
z ɒ l ɒ	z ɒ l ɒ
k r eː m	k r eː m
i n t øː	i n t øː
ɛ ʃ n i	ɛ ʃ n i
h i b ɒ	h i b ɒ
t͡s eː ɡ ɛ	t͡s eː ɡ ɛ
ɛ l v ɛ	ɛ l v ɛ
l eː p øː	l eː p øː
eː v ɛ k	eː v ɛ k
ɡ i d ɒ	ɡ i d ɒ
m ɒ ɡ ɒ	m ɒ ɡ ɒ
t͡s eː l t	t͡s eː l t
n eː ɦ ɒ	n eː ɦ ɒ
t øː k ɛ	t øː k ɛ
ʃ v eː d	ʃ v eː d
f o t oː	f o t oː
eː v r ɛ	eː v r ɛ
eː ɡ b ɛ	eː ɡ b ɛ
v eː d øː	v eː d øː
h ɒ ŋ ɡ	h ɒ ŋ ɡ
p ɒ r k	p ɒ r k
ɛ l ʃ øː	ɛ l ʃ øː
ʃ y l t	ʃ y l t
eː l n i	eː l n i
k eː z i	k eː z i
f ɒ r t	f ɒ r t
z ø l d	z ø l d
ɒ p ɒ d	ɒ p ɒ d
v ɛ l ɛ	v ɛ l ɛ
m o z i	m o z i
m ɛ n t	m ɛ n t
h o r d	h o r d
m ɒ k oː	m ɒ k oː
h o z oː	h o z oː
ɛ r ɛ d	ɛ r ɛ d
b iː r oː	b iː r oː
v aː ɡ oː	v aː ɡ oː
b øː r t	b øː r t
l ɛ v øː	l ɛ v øː
b y f eː	b y f eː
ɛ u r oː	ɛ u r oː
ɒ t o m	ɒ t o m
eː l v ɛ	eː l v ɛ
eː r n eː	eː r n eː
ɛ m i l	ɛ m i l
o k r ɒ	o k r ɒ
eː d ɛ ʃ	eː d ɛ ʃ
j oː ɡ i	j oː ɡ i
o l ɒ j	o l ɒ j
m eː r d	m eː r d
oː r aː n	oː r aː n
t͡s eː l uː	t͡s eː l uː
k eː p ɛ	k eː p ɛ
r eː t i	r eː t i
k aː v eː	k aː v eː
m i n d	m i n d
ɒ k ɒ r	ɒ k ɒ r
f ø l d	f ø l d
aː r ɒ k	aː r ɒ k
b eː l ɒ	b eː l ɒ
ɛ z ɛ n	ɛ z ɛ n
ɒ p r oː	ɒ p r oː
aː l o m	aː l o m
ɛ l eː ɡ	ɛ l eː ɡ
r aː t ɒ	r aː t ɒ
r i ɡ oː	r i ɡ oː
u r aː n	u r aː n
f ɛ n t	f ɛ n t
m ɒ j d	m ɒ j d
k ø r ɛ	k ø r ɛ
v ɛ t i	v ɛ t i
eː ɡ ø v	eː ɡ ø v
t yː n t	t yː n t
u t aː n	u t aː n
h ɒ z ɒ	h ɒ z ɒ
n eː n i	n eː n i
t ø l t	t ø l t
b u t ɒ	b u t ɒ
t aː v uː	t aː v uː
ɒ l f ɒ	ɒ l f ɒ
h aː t ɒ	h aː t ɒ
r aː ŋ k	r aː ŋ k
eː l i k	eː l i k
ø v ɛ k	ø v ɛ k
k eː r d	k eː r d
aː r u t	aː r u t
t ø ŋ k	t ø ŋ k
k eː r t	k eː r t
n ɛ v ɛ	n ɛ v ɛ
o k o ʃ	o k o ʃ
oː r aː k	oː r aː k
