s t aː n	s t aː n
j oː s t	j oː s t
p oː r t	p oː r t
f i t s	f i t s
k r aː n	k r aː n
r ɛ x t	r ɛ x t
aː z i l	aː z i l
s x ɔ t	s x ɔ t
t r u f	t r u f
œ y̯ t ə	œ y̯ t ə
d i n s	d i n s
v i z i	v i z i
s ɛː n ə	s ɛː n ə
k n aː x	k n aː x
b ɑ u̯ t	b ɑ u̯ t
l ɛ m aː	l ɛ m aː
ɑ p ɛ l	ɑ p ɛ l
ɣ r aː n	ɣ r aː n
v r eː s	v r eː s
v l eː s	v l eː s
b r øː k	b r øː k
l ɑ x t	l ɑ x t
s x ʏ t	s x ʏ t
k ʏ r i	k ʏ r i
z u k t	z u k t
d r ɑ ŋ	d r ɑ ŋ
k r aː x	k r aː x
d oː i̯ ə	d oː i̯ ə
k r aː i̯	k r aː i̯
s l aː p	s l aː p
s x ɪ l	s x ɪ l
n aː l t	n aː l t
s p u t	s p u t
s x ɛ p	s x ɛ p
k ʏ d ə	k ʏ d ə
v ɛ t ə	v ɛ t ə
s x y u̯	s x y u̯
s x ɔ p	s x ɔ p
ɣ r u t	ɣ r u t
n i l s	n i l s
b r ɑ u̯	b r ɑ u̯
s p u l	s p u l
s l aː n	s l aː n
aː r t s	aː r t s
ɛ m ə r	ɛ m ə r
ɣ r ɑ u̯	ɣ r ɑ u̯
t u t s	t u t s
b r oː m	b r oː m
b aː l i	b aː l i
s eː r i	s eː r i
aː n u k	aː n u k
ɛ f ə n	ɛ f ə n
b ɛ l aː	b ɛ l aː
k l oː f	k l oː f
d eː p oː	d eː p oː
t r u p	t r u p
k oː p t	k oː p t
s t iː r	s t iː r
r u s t	r u s t
b r ɛ ŋ	b r ɛ ŋ
v l aː i̯	v l aː i̯
r u d ə	r u d ə
ɪ p ɔ n	ɪ p ɔ n
k aː m eː	k aː m eː
s uː r aː	s uː r aː
m aː k t	m aː k t
k ʋ i k	k ʋ i k
k l aː s	k l aː s
b u t ə	b u t ə
j ɔ ŋ ə	j ɔ ŋ ə
k ɔ x t	k ɔ x t
ɛ ŋ ə l	ɛ ŋ ə l
p aː ʃ aː	p aː ʃ aː
z ʏ x t	z ʏ x t
s u ʃ i	s u ʃ i
aː r t s	aː r t s
ʋ ɑ x t	ʋ ɑ x t
v eː x t	v eː x t
p r aː t	p r aː t
z i k ə	z i k ə
ʋ i r p	ʋ i r p
d ʋ aː s	d ʋ aː s
p u l s	p u l s
l ɑ ŋ s	l ɑ ŋ s
d r oː m	d r oː m
ɣ r oː t	ɣ r oː t
b r y t	b r y t
b l u i̯	b l u i̯
s ɛː r ə	s ɛː r ə
ɔ f ə r	ɔ f ə r
s l i p	s l i p
i k oː n	i k oː n
ɣ oː i̯ t	ɣ oː i̯ t
s t eː k	s t eː k
v ɑ x t	v ɑ x t
v aː r t	v aː r t
s t aː l	s t aː l
oː x s t	oː x s t
s n u k	s n u k
m ɛ n oː	m ɛ n oː
s p i s	s p i s
s t aː t	s t aː t
v ʏ x t	v ʏ x t
z ɛ n ə	z ɛ n ə
p r oː i̯	p r oː i̯
s m aː k	s m aː k
k r ɪ s	k r ɪ s
v r ɑ u̯	v r ɑ u̯
aː p j ə	aː p j ə
s x ɑ t	s x ɑ t
aː r d ə	aː r d ə
m aː ɣ i	m aː ɣ i
v ɛ r ə	v ɛ r ə
b ʏ ɡ i	b ʏ ɡ i
l i k ə	l i k ə
b ɔ x t	b ɔ x t
v r u x	v r u x
k aː r t	k aː r t
f r i s	f r i s
t s aː r	t s aː r
s t u l	s t u l
t r ɑ u̯	t r ɑ u̯
j øː x t	j øː x t
d ɪ k ə	d ɪ k ə
l eː s t	l eː s t
t ɔ x t	t ɔ x t
ɦ oː r t	ɦ oː r t
ɦ aː l t	ɦ aː l t
d ɪ x t	d ɪ x t
b r i f	b r i f
ə r aː n	ə r aː n
aː n aː l	aː n aː l
p ɑ x t	p ɑ x t
m aː r t	m aː r t
s t u p	s t u p
r eː k s	r eː k s
v ɛ x t	v ɛ x t
ʋ aː l s	ʋ aː l s
k n oː p	k n oː p
eː r s t	eː r s t
ʋ ɔ r t	ʋ ɔ r t
aː d r i	aː d r i
k l eː t	k l eː t
s l oː p	s l oː p
p aː r s	p aː r s
j ɑ x t	j ɑ x t
k ɪ l ə	k ɪ l ə
b øː r s	b øː r s
oː v aː l	oː v aː l
ʋ u s t	ʋ u s t
s l oː m	s l oː m
s t eː x	s t eː x
v r aː k	v r aː k
s t y r	s t y r
ɦ u z oː	ɦ u z oː
b l u m	b l u m
l ʏ x t	l ʏ x t
b u l i	b u l i
s p oː r	s p oː r
r øː z ə	r øː z ə
ɦ ɑ ŋ t	ɦ ɑ ŋ t
p r u f	p r u f
l ɪ s ə	l ɪ s ə
v l i t	v l i t
d aː x s	d aː x s
l ɑ ŋ ə	l ɑ ŋ ə
b yː n ə	b yː n ə
s l u x	s l u x
l eː r t	l eː r t
b l oː t	b l oː t
m aː n t	m aː n t
ɑ s ə n	ɑ s ə n
f eː s t	f eː s t
l oː t s	l oː t s
ɦ u r aː	ɦ u r aː
t ɔ r n	t ɔ r n
k r u s	k r u s
ɣ r i p	ɣ r i p
ɑ k ə r	ɑ k ə r
l aː r s	l aː r s
ʋ oː n t	ʋ oː n t
b l ɑ u̯	b l ɑ u̯
v eː r ə	v eː r ə
ɦ oː r n	ɦ oː r n
b u i̯ ə	b u i̯ ə
z ɔ t ə	z ɔ t ə
ɣ eː s t	ɣ eː s t
d ʋ ɑ ŋ	d ʋ ɑ ŋ
b l eː k	b l eː k
ɔ p s i	ɔ p s i
s p r eː	s p r eː
n oː ɑ x	n oː ɑ x
k n aː p	k n aː p
ɦ ɑ u̯ t	ɦ ɑ u̯ t
d r aː x	d r aː x
l ɛ i̯ t	l ɛ i̯ t
ɑ l ə r	ɑ l ə r
s m u l	s m u l
ɑ l ə n	ɑ l ə n
b ɛ l oː	b ɛ l oː
v l u r	v l u r
k r u x	k r u x
d ɔ r t	d ɔ r t
ʃ i n aː	ʃ i n aː
d aː r oː	d aː r oː
p r aː x	p r aː x
l ɔ t ə	l ɔ t ə
b ɔ s	b ɔ s
k oː r	k ɔ r p s
l u i	l u i
l eː u̯	l eː u̯
ɑ l aː	ɑ l aː
ɛ s eː	ɛ s eː
ɔ l i	ɔ l i
m eː u̯	m eː u̯
ʃ aː n	ʃ aː n
ɦ ɛ x t	ɦ ɛ x t
i p ə r	i p ə r
ɣ r aː x	ɣ r aː x
m aː r n	m aː r n
t r øː r	t r øː r
s t eː l	s t eː l
k l ɑ u̯	k l ɑ u̯
b r uː r	b r uː r
d r u x	d r u x
s aː r aː	s aː r aː
r ɛ i̯ t	r ɛ i̯ t
l ʏ n ʃ	l ʏ n ʃ
b øː r t	b øː r t
ɑ l ə s	ɑ l ə s
n ɪ x t	n ɪ x t
ɣ r i k	ɣ r i k
