a r d u	a r d u
y a r d	y a r d
l a m a	l a m a
m a r s	m a r c e
v e n u	v e n u e
n o ë l	n o ë l
t i t i	t i t i
t u r c	t u r k
a b e l	a b e l
b o x e	b o x
y o g a	y o g a
s o f t	s o f t
p o i l	p o i l e
k i l o	k i l o
c u b a	c u b a
s a l a	s a l a
f u i r	f u i r
c a p a	c a p a
t i r é	t i r e r
g e l é	g e l e r
s t a r	s t a r
p a r i	p a r i s
a m e r	a m e r
s o l o	s o l o
p a p y	p a p i s
m a r i	m a r i
l u x e	l u x e
t u b a	t u b a
t a p i	t a p i
s p o t	s p o t
o p e n	o p e n
c ô t é	c ô t e r
r a t é	r a t e r
v i o l	v i o l e
l o i r	l o i r e
s p a m	s p a m
p a p a	p a p a
b o b o	b o b o
d é f i	d é f i
g a ë l	g a ë l
c o t é	c o t é
l o g o	l o g o
s o d a	s a u d a
j u r a	j u r a
w i k i	w i k i
s m i c	s m i c
b o r é	b o r é
r a v i	r a v i
t a x e	t a x e
d é j à	d é j a
p a r é	p a r é
a b r i	a b r i
b l o c	b l o c
p u n k	p e u n k
t r a m	t r a m
p o s t	p o s t e
f r a c	f r a c
d i r a	d i r a
a v e c	a v e c
é r i c	é r i c
f i s c	f i s q u e
r i n g	r i n g
m u n i	m u n i
m e n u	m e n u
b r u t	b r u t e
j o l i	j o l i
e n z o	e n z o
n i n a	n i n a
p r o f	p r o f
t é l é	t é l e r
g a g a	g a g a
c i n é	c i n é
é m i r	é m i r
j u g é	j u g e r
p l u g	p l e u g
j u r é	j u r e r
j u r y	j u r y
a g i r	a g i r
z i z i	z i z i
a z u r	a s u r e
b é b é	b é b é
r a p t	r a p t e
o v n i	o v n i
l e s t	l e s t e
d é n i	d é n i s
z é r o	z é r o
d é ç u	d e s s u
g a z a	g a z a
a n u s	a n u s
d u r a	d u r a
s l i p	s l i p
f r i c	f r i c
m i l o	m i l o
c a f é	c a f é
d e l à	d e l a
s a l é	s a l é
a l b i	a l b i
c r é a	c r é a
a c n é	a c n é
f l i c	f l i q u e
c e t	c e t
j t	g i t e r
c v	s é v
b d	b d
f c	f c
r c	a i r c e r
c d	c d
p q	p é c u
t d	t d
m a x	m a x
v r a c	v r a c
f i a	f i a
c i a	c i a
b o x	b o x
m i x	m i x
f u e l	f i o u l e
l a ï c	l a ï c
c a r i	c a r i
m i k e	m i q u e
r e n é	r e n e z
d o r é	d o r é e
c i e l	c i e l
p a r u	p a r u
b i b i	b i b i
p a r c	p a r k
t o g o	t o g o
r i g a	r i g a
i m a m	i m a m
s a g a	s a g a
c l i p	c l i p
j e t é	j e t é
m a ï s	m a ï s
m o n o	m o n o
c o r p	c o r p e
j u s t	j u s t e
i d e m	i d e m
d r o p	d r o p
a v a l	a v a l
m i s é	m i s é
o r a l	o r a l
b â t i	b â t i e
m a r k	m a r k
b r e f	b r e f
f i e f	f i e f
l o ï c	l o ï c
g r a y	g r a y
p e l é	p e l e r
m i d i	m i d i
v o m i	v o m i
v i s a	v i s a
g r a v e	g r a v e
j o ë l	j o ë l
s e x e	s e x e
f u t é	f u t e r
r é e l	r é e l
d e ç à	d e s s a
f i g é	f i g é
k i e v	k i e v
m i n a	m i n a
r e ç u	r e ç u
c y c l e	c y c l e
p l a c e	p l a c e
m a t c h	m a t c h
s t a g e	s t a g e
a l g e r	a l g e r
s e r i n	s e r i n
f a r c e	f a r c e
p l u i e	p l u i
l i t r e	l i t r e
p a r t e	p a r t e
s t o r e	s t o r e
m i n s k	m i n s q u e
d e n i s	d e n i s
d o t é s	d o t e r
m e r d e	m e r d e
l i b a n	l i b a n
f r ê l e	f r ê l e
d u r e r	d u r e r
s é v i t	s é v i t
n o i r e	n o i r e
f a ç o n	f a s s o n
b r i c e	b r i c e
c r i s e	c r i s e
d o t e r	d o t e r
d é b a t	d é b a t
f o i r e	f o i r e
m a t i n	m a t i n
j e u d i	j e u d i
c o u p é	c o u p e r
t i g r e	t i g r e
r é g i e	r é g i e
t o r s e	t o r s e
g o l f e	g o l f e
c i b l e	c i b l e
l a n c é	l a n c é
l è v r e	l è v r e
c a l e r	c a l e r
t o i l e	t o i l e
c o r n e	c o r n e
m a r i n	m a r i n
v o l é e	v o l e r
m o i n e	m o i n e
f o l i e	f o l i e
b r u n e	b r u n e
m o n t é	m o n t e r
c r â n e	c r â n e
c a d e t	c a d e t
s w i n g	s w i n g
s i n o n	s i n o n
q u i c k	q u i c k
l y d i e	l y d i e
p r i s e	p r i s e
m a n d é	m a n d é
m e n e r	m e n e r
p e r d e	p e r d e
a n d r é	e n d r e z
p a t i n	p a t i n
c r é e r	c r é e r
p o è t e	p o è t e
f i x e	f i x e
f r i s e	f r i s e
p o è m e	p o è m e
k u r d e	c u r d e
a b o r d	a b o r t
r a b o t	r a b o t
a g i l e	a g i l e
t i t r e	t i t r e
f r è r e	f r è r e
s c o r e	s c o r e
s e r v e	s e r v e
b a b y	b a b y
m u n i s	m u n i
p e s e r	p e s e r
r o d i n	r o d i n
c o n g o	c o n g o
f o n d u	f o n d u
f a b l e	f a b l e
m o ï s e	m o ï s e
g a u d é	g a u d e r
a r m e r	a r m e r
s i m o n	s i m o n
b r è v e	b r è v e
f u s i l	f u s i
o g i e r	o g i e r
g é n i e	g é n i e
p a c t e	p a c t e
d a t e r	d a t e r
s t a f f	s t a f
s t a d e	s t a d e
u n i o n	u n i o n
d o g m e	d o g m e
é c o l e	é c o l e
f e r r y	f e r r y
f r u i t	f r u i t
s a p i n	s a p i n
f u s é e	f u s é e
d a n c e	d a i n c e
s e m i s	s e m i
s o c l e	s o c l e
é t u i s	é t u i t
j a z z	j a z
d r ô l e	d r ô l e
d e m i	d e m i
c i t é	c i t e r
p a c a	p a c a
f i l m	f i l m e
j o s é	j o s é
m i n é	m i n é
l e v é	l e v e r
r é m y	r é m i
p i t o n	p i t o n
g r e c	g r e c
a r m é	a r m e r
m a l i	m a l i
m i k a	m i c a
j a v a	j a v a
f i n i t	f i n i s
g a b o n	g a b o n
v e n u e	v e n u e
s i t ô t	c i t ô t
f i l m e	f i l m e
s a l v e	s a l v e
r a n g é	r a n g e r
n o t r e	n o t r e
r é p i t	r é p i t
c u l t e	c u l t e
n o i r s	n o i r e
b e r n e	b e r n e
s e l o n	s e l o n
a r ê t e	a r r ê t e
c r o î t	c r o î t
s a l o n	s a l o n
é d i t h	é d i t e
m a n g é	m a n g e r
s u b i t	s u b i t
p é k i n	p é q u i n
m o i t e	m o i t e
v e n d u	v e n d u
t i r e r	t i r e r
c l o w n	c l o u n
b r u m e	b r u m e
p e l e r	p e l e r
c a d r e	c a d r e
r i a n t	r i a n t
d o t é e	d o t e r
t a p i s	t a p i
j u l i e	j u l i e
b o i r e	b o i r e
s a n t é	c e n t e r
s t a n d	s t a n d e
c h e n u	c h e n u
r u i n e	r u i n e
l u e u r	l u e u r
l u c i e	l u c i
s t o n e	s t o n e
c i r e r	c i r e r
c a p t e	c a p t e
c a r o n	c a r o n
l â c h e	l â c h e
n î m e s	n i m e
a u t r e	a u t r e
p u c e s	p u c e
i m p ô t	i m p ô t
v e n t e	v e n t e
c a s s e	c a s s e
p i e u x	p i e u
d i g u e	d i g u e
s o u r d	s o u r
g o m m e	g o m m e
m i e u x	m i e u x
c i e u x	c i e u x
a l l e r	a l l e z
m o n d e	m o n d e
s c i e r	c i e r
o n c l e	o n c l e
o u v r e	o u v r e
p o u p e	p o u p e
h e n r y	h e n r y
g e s s e	g e s
c h o i x	c h o i
j a u n e	j a u n e
j e u n e	j e u n e
c h i e n	c h i e n
r e i n e	r e i n e
f a u v e	f a u v e
f r e i n	f r e i n
s e u l e	s e u l e
t r o n c	t r o n t
n o c e s	n o c e
j a n t e	g e n t e
j o u i t	j o u i t
a n t r e	e n t r e
l i e u x	l i e u
c a u s e	c a u s e
t a n t e	t e n t e
l i g u e	l i g u e
f i l e s	f i l e
a v a n t	a v a n t
p o c h e	p o c h e
f o u e t	f o u e t
c o u r t	c o u r s
t i e n s	t i e n
p o u l e	p o u l e
o f f r e	o f f r e
é t a i s	é t a i t
n e i g e	n e i g e
c o h u e	c o u
c o l l e	c o l
v i e n t	v i e n s
a p t e s	a p t e
a m a n t	a m e n t
t o n n e	t o n n e
t e r r e	t e r r e
m i l l e	m i l
b a l l e	b a l
b u l l e	b u l
j o i n s	j o i n t
t e n t e	t e n t e
f e m m e	f a m
p u n c h	p o n c h e
s c è n e	s e i n e
s a u t e	s a u t e
h u m e r	h u m e r
c e l l e	c e l
c a n n e	c a n n e
m a n n e	m a n
a l l é e	a l l e z
p i q u e	p i c
c o m m e	c o m m e
a s s i s	a s s i
c h a i r	c h e r
r h ô n e	r ô n e
a l l e z	a l l e z
g a f f e	g a f f e
é t a i t	é t a i t
n i a n t	n i a n t
g u è r e	g u è r e
v e r r e	v e r
r è g n e	r è g n e
s e i z e	s a i s e
q u a r t	c a r
j o u r s	j o u r
b u t t e	b u t t e
p a u s e	p o s e
a r l e s	a r l e
j e t t e	g e t t e
m o n t e	m o n t e
f o s s e	f o s s e
s i g n e	s i g n e
b a s s e	b a s s e
b o m b e	b o m b e
f o l l e	f o l
n u l l e	n u l
c r e u x	c r e u x
p r e n d	p r e n d
g u i d e	g u i d e
p l a n s	p l a n
t o u r s	t o u r
t o u t e	t o u t e
s a u v e	s a u v e
c a c h e	c a c h e
t o q u e	t o c
h â t e r	h â t e r
b o u g e	b o u g e
é q u i n	é q u i n
d i g n e	d i g n e
p i s s e	p i s s e
p u i t s	p u i s
a m o n t	a m o n
a u s s i	a u s s i
t a i r e	t e r r e
r h u m e	r u m e
f o n d e	f o n d e
s e i n e	s e i n e
o u t i l	o u t i
h a b i t	h a b i t
e n f i n	e n f i n
s a l l e	s a l
b e l l e	b e l
a g e n t	a g e n t
v e u v e	v e u v e
e n g i n	e n g i n
a u c u n	a u c u n
h u i l e	h u i l e
h a v r e	h a v r e
a m p l e	e m p l e
c e t t e	c e t t e
l u t t e	l u t t e
p h a r e	f a r
h e n r i	h e n r y
a i n s i	i n c i
a s s e z	a s s e z
p ô l e s	p a u l e
s o u d e	s o u d e
e n t r e	e n t r e
u r n e s	u r n e
q u e l s	q u e l
n a p p e	n a p p e
c i m e s	c i m e
f a u n e	f a u n e
s o e u r	s e u r
p e u r s	p e u r
p a i r e	p e r
p l e i n	p l a i n
p e l l e	p e l
j o i n t	j o i n t
t h è m e	t h è m e
p l a î t	p l a i t
n e r f s	n e r r e
v a g u e	v a g u e
r o u g e	r o u g e
o m b r e	o m b r e
m i c h e	m i c h e
g a m m e	g a m m e
e n j e u	e n j e u
a r m e s	a r m e
l o g u e	l o g u e
h a l t e	a l t e
p a u l e	p a u l e
t h è s e	t h è s e
m a t h s	m a t h
s o n d e	s o n d e
f a i r e	f e r
d o n n e	d o n
p e i n e	p e i n e
d u r e s	d u r e
f r a i s	f r è s
a l p e s	a l p e
p o m p e	p o m p e
r o c h e	r o c h e
i r o n t	i r o n t
p a s s e s	p a s
f a i t e s	f a i t e
e n f a n t	e n f a n t
t a i l l e	t a i l
c h a n t e	c h a n t e
t o u t e s	t o u t e
o m b r e s	o m b r e
e n v i e s	e n v i e
m o u a i s	m o u a i s
a u t r e s	a u t r e
f i l l e s	f i l l e
m a i r e s	m e r
h i n d o u	i n d o u
c a u s e s	c a u s e
m a n c h e	m a n c h e
l a n g u e	l a n g u e
h u m a i n	h u m a i n
t e r r e s	t e r r e
c h e f f e	c h e f
q u i t t e	k i t e
c h i a n t	c h i a n t
c h a i r e	c h e r
v a g u e s	v a g u e
p o c h e s	p o c h e
a l l a i t	a l l a i t
a u t a n t	a u t a n t
g e n r e s	g e n r e
f l a n c s	f l a n c
a l l o n s	a l l o n
a s s a u t	a s s a u t
v e i l l e	v e i l
r h o d e s	r o d e
j e a n n e	j a n n e
m i s e n t	m i s e
e r r a n t	e r r a n t
e s s a i e	e s s a i e
c h o q u e	c h o q u e
q u i n z e	q u i n z e
o f f r e s	o f f r e
j o i n t s	j o i n t
c h e i k h	c h e i k
g u e r r e	g u è r e
b o u c h e	b o u c h e
c e l l e s	c e l
g u e r r e s	g u è r e
h u m a i n s	h u m a i n
l a n c e n t	l a n c e
e n t r e n t	e n t r e
m a i n t e s	m a i n t e
h o n t e u x	h o n t e u x
m e t t e n t	m e t t e
h é r a u l t	h é r o
f e u i l l e	f e u i l l e
a t t e n d s	a t t e n d
s a i n t e s	s a i n t e
f a s s e n t	f a s s e
h a u s s e r	h a u s s e r
c o u r e n t	c o u r s
s i g n e n t	s i g n e
c h a n c e s	c h a n c e
a n n e a u x	a n n e a u
g u e u l e s	g u e u l e
e n f a n t s	e n f a n t
n a i s s e n t	n e s s e
f e u i l l e s	f e u i l l e
a l l a i e n t	a l l a i t
b a n q u e	b a n k
c h a i s e	c h a i s e
g i l l e s	g i l l e
s i g n e s	s i g n e
b o n n e s	b o n n e
h i s s e r	i c
g o s s e s	g o s s
f i g e n t	f i g e
b o m b e s	b o m b e
d i s e n t	d i s e
j o u t e s	j o u t e
h a u s s é	h a u s s e r
r i c h e s	r i c h e
a n n e a u	a n n e a u
a n n é e s	a n n é
o n c l e s	o n c l e
c o u r t s	c o u r s
e n t e n d s	e n t e m p s
h o u l e u x	o u l e u x
n y m p h e s	n y m p h e s
v e n d e n t	v e n d e
t â c h e s	t â c h e
v o s g e s	v o s g e
r o c h e s	r o c h e
c h a q u e	c h a k
g a u c h e	g a u c h e
v i l l e s	v i l l e
c r é e n t	c r é e
n e t t e s	n e t t e
b o u f f e	b o u f f e
c a n n e s	c a n n e
t e n t e s	t e n t e
v e s c e	v e s c e
p r i e n t	p r i s
p e i g n e	p e i g n e
t o u f f e	t o u f e
t o u c h e	t o u c h e
s a v e n t	s a v e
b e a u n e	b e a u n e
c h a n g e	c h a n g e
c h a i n e	c h a i n e
c o n t e s	c o n t e
a g n e a u	a g n e a u
c o u r s	c o u r s
b o n n e	b o n n e
e n v i e	e n v i e
b l a n c	b l a n
r e n t e	r e n t e
j e û n e	j e u n e
v i e u x	v i e u x
r o g n e	r o g n e
b i l l e	b i l l e
d o i g t	d o i s
m i n e s	m i n e
é t e i n t	é t e i n t
v i e n s	v i e n s
é p o u x	é p o u x
g r u e s	g r u e
f o u l e	f o u l e
h e r b e	h e r b e
p h a s e	f a s e
r o n d e	r o n d e
m a l l e	m a l
c h e r s	c h e r
b e l l e s	b e l
r u s s e s	r u s s e
f a i l l e	f a i l
h a b i t s	h a b i t
j e u n e s	j e u n e
j u r e n t	j u r e
h u m b l e	h u m b l e
g u e u l e	g u e u l e
c h è r e s	c h e r
c h a n c e	c h a n c e
a t t e n d	a t t e n d
d e n g u e	d e n g u e
a n g e r s	a n g e r
l a n d e s	l a n d e
f e i n t e	f e i n t e
h o c k e y	o c k e y
t h è m e s	t h è m e
f u m e n t	f u m e
p h o q u e	f o c
m o u c h e	m o u c h e
d o u c h e	d o u c h e
l a i s s e	l e s s e
l o u r d s	l o u r d
e n t r e s	e n t r e
p o i n t s	p o i n t
c h a î n e	c h a i n e
s o u c h e	s o u c h e
m e n t h e	m e n t e
c h a u v e	c h a u v e
c y g n e s	s i g n e
s o m m e s	s o m m e
p o u c e s	p o u c e
n a n t e s	n a n t e
t u q u e	t u c
c h a s s e	c h a s
b a g u e s	b a g
r e n n e s	r e i n e
b a i s s e	b a i s s e
j a u n e s	j a u n e
b l e u e s	b l e u
f o u g u e	f o u g u e
c a i s s e	c a i s s e
g u i d e s	g u i d e
c a p e	c a p
r i v e	r i v e
e m m a	e m m a
l i c e	l i c e
s i e d	c i e r
p i r e	p i r e
t r è s	t r è s
l e u r	l e u r
e m m i	e m m i e
t r o p	t r o
t h é o	t h é o
a v i s	a v i s
y v o n	i v o n s
s e l s	c e l
m u r e	m u r e
l a v e	l a v e
a b o t	a b o t
b i e n	b i e n
z o o m	z o o m
p l a t	p l a
p n e u	p n e u
d u n e	d u n e
t i r e	t i r
u s e r	u s e r
â p r e	â p r e
c a g e	c a g e
l u g e	l u g e
t a r d	t a r
h u g o	h u g o
u n i t	u n i
u t a h	u t a h
l i e u	l i e u
f u m e	f u m e
t u b e	t u b e
g r i s	g r i s
r i e n	r i e n
s e u l	s e u l e
l o o k	l o o k
r a i l	r a i l
o i s e	o i s e
l e n s	l a n c e
é l u s	é l u
c a v e	c a v e
p a r t	p a r t
p a g e	p a g e
c h a r	c h a r
c ô t e	c ô t e
v e r t	v e r
t y p e	t y p e
r a c e	r a s s e
i s s u	i s s u
f a c e	f a s s e
s o i n	s o i n
p r i s	p r i s
c l o u	c l o u
f l o t	f l o t
p a p e	p a p e
f o i s	f o i
d i t e	d i t e
l u i s	l u i s
r a t e	r a t e
a l l é	a l l e z
e u r o	e u r o
f i n e	f i n e
b ê t e	b ê t e
c o t e	c o t t e
c u i t	c u i t
m è n e	m è n e
g l a s	g l a s
s a l e	s a l
a b o u	a b o u
o u e d	o u e d
s a v e	s a v e
a g e n	a g e n
d o r s	d o r s
p a i r	p e r
m è r e	m e r
r i r e	r i r e
d e a d	d e a d
s û r e	s u r
m o r t	m o r t
n i c e	n i c e
m i s e	m i s e
p r è s	p r è s
l i r e	l i r e
l i m e	l i m e
p e u r	p e u r
m o n s	m o n s
d u r e	d u r e
d o r t	d o r s
p a u l	p o l
f i g e	f i g e
