ɡ ɑ tʰ i ʃ ɛ	ɡ ɑ tʰ i ʃ ɛ
b ɔ d i ʃ i	b ɔ d i ʃ i
m ɑ r d͡ʒ v ɛ	m ɑ r d͡ʒ v ɛ
n i ɣ ɑ b i	n i ɣ ɑ b i
tʼ i r ɑ ʒ i	tʼ i r ɑ ʒ i
d ɑ t͡s v ɑ m	d ɑ t͡s v ɑ m
ɡ v i n ɛ ɑ	ɡ v i n ɛ ɑ
ɑ kʰ t͡s i z i	ɑ kʰ t͡s i z i
tʼ ɛ r ɑ s ɑ	tʼ ɛ r ɑ s ɑ
l ɔ d i n i	l ɔ d i n i
m kʼ ɑ pʰ i ɔ	m kʼ ɑ pʰ i ɔ
v i ɑ r ɔ tʰ	v i ɑ r ɔ tʰ
ɣ v ɑ t͡sʼ l i	ɣ v ɑ t͡sʼ l i
ɑ r t͡ʃ ɛ v s	ɑ r t͡ʃ ɛ v s
tʼ v i r tʰ i	tʼ v i r tʰ i
s ɑ b ɑ b i	s ɑ b ɑ b i
ɑ pʰ r i kʼ ɑ	ɑ pʰ r i kʼ ɑ
m ɣ v r i ɛ	m ɣ v r i ɛ
u d i ɛ r i	u d i ɛ r i
t͡sʼ qʼ ɑ r ɔ m	t͡sʼ qʼ ɑ r ɔ m
m ɑ m i kʼ ɔ	m ɑ m i kʼ ɔ
ɑ m b ɔ x i	ɑ m b ɔ x i
pʼ ɑ n i kʼ ɑ	pʼ ɑ n i kʼ ɑ
kʼ v d ɛ b ɑ	kʼ v d ɛ b ɑ
m u s ɔ n i	m u s ɔ n i
l ɑ z ɛ r i	l ɑ z ɛ r i
m t͡sʼ v ɑ v ɛ	m t͡sʼ v ɑ v ɛ
ɑ pʰ x ɑ z i	ɑ pʰ x ɑ z i
u qʼ v ɑ r s	u qʼ v ɑ r s
r b i l ɑ d	r b i l ɑ d
u s u l ɔ d	u s u l ɔ d
t͡s v ɛ tʼ ʃ i	t͡s v ɛ tʼ ʃ i
i ɛ m ɛ n i	i ɛ m ɛ n i
s i t͡s i v ɛ	s i t͡s i v ɛ
s ɑ m ɔ t͡s i	s ɑ m ɔ t͡s i
pʼ ɑ ɡ ɔ d ɑ	pʼ ɑ ɡ ɔ d ɑ
d ɑ v l ɛ v	d ɑ v l ɛ v
pʰ i l tʼ v i	pʰ i l tʼ v i
s ɑ kʰ m r ɔ	s ɑ kʰ m r ɔ
i d ɛ ɑ l i	i d ɛ ɑ l i
l ɑ m ɑ z i	l ɑ m ɑ z i
r t͡sʼ m ɛ n ɑ	r t͡sʼ m ɛ n ɑ
kʼ ɑ n ɔ n i	kʼ ɑ n ɔ n i
s i n ɑ z ɛ	s i n ɑ z ɛ
m ɑ i kʼ l i	m ɑ i kʼ l i
s i t͡s i l i	s i t͡s i l i
z u r ɡ z ɛ	z u r ɡ z ɛ
kʰ v ɛ i tʰ i	kʰ v ɛ i tʰ i
u d͡z i l ɔ d	u d͡z i l ɔ d
ɑ ɣ t͡sʼ ɛ r s	ɑ ɣ t͡sʼ ɛ r s
d ɑ l ɛ v s	d ɑ l ɛ v s
d ɑ v i tʰ i	d ɑ v i tʰ i
l ɑ pʰ ɑ n i	l ɑ pʰ ɑ n i
d ɑ l ɑ kʰ i	d ɑ l ɑ kʰ i
u kʰ n ɑ r ɑ	u kʰ n ɑ r ɑ
kʼ i s ɛ r i	kʼ i s ɛ r i
m t͡sʼ n i l i	m t͡sʼ n i l i
d͡z ɑ r ɣ v i	d͡z ɑ r ɣ v i
tʰ ɑ m ɑ d ɑ	tʰ ɑ m ɑ d ɑ
m ɛ b ɑ ɣ ɛ	m ɛ b ɑ ɣ ɛ
pʰ i l tʼ r i	pʰ i l tʼ r i
kʰ ɑ b u l i	kʰ ɑ b u l i
b ɛ d͡ʒ i tʰ i	b ɛ d͡ʒ i tʰ i
kʼ ɑ x ɛ tʰ s	kʼ ɑ x ɛ tʰ s
ɔ kʰ r ɔ tʰ i	ɔ kʰ r ɔ tʰ i
pʼ ɑ r i z i	pʼ ɑ r i z i
m tʼ r u l i	m tʼ r u l i
qʼ ɑ tʼ ɑ r i	qʼ ɑ tʼ ɑ r i
qʼ ɑ t͡ʃ ɑ ɣ i	qʼ ɑ t͡ʃ ɑ ɣ i
t͡ʃ ɑ d i ɑ n	t͡ʃ ɑ d i ɑ n
t͡s r ɛ m l i	t͡s r ɛ m l i
t͡sʼ qʼ ɛ u l i	t͡sʼ qʼ ɛ u l i
s u r ɑ tʰ i	s u r ɑ tʰ i
m ɑ r tʰ v ɑ	m ɑ r tʰ v ɑ
r ɔ tʼ ɔ r i	r ɔ tʼ ɔ r i
pʰ i l m i s	pʰ i l m i s
s tʼ r ɔ pʰ i	s tʼ r ɔ pʰ i
d r ɔ u l i	d r ɔ u l i
u d͡z r ɑ v i	u d͡z r ɑ v i
qʼ ɑ s ɑ b i	qʼ ɑ s ɑ b i
ɑ kʰ l ɛ m i	ɑ kʰ l ɛ m i
tʰ ɑ m ɑ r i	tʰ ɑ m ɑ r i
r ɔ m ɑ n i	r ɔ m ɑ n i
z ɔ ɡ ɑ v s	z ɔ ɡ ɑ v s
x ɔ x ɔ b i	x ɔ x ɔ b i
ɑ r t͡ʃ ɛ v ɑ	ɑ r t͡ʃ ɛ v ɑ
b i t͡ʃʼ u n ɑ	b i t͡ʃʼ u n ɑ
kʰ ɑ d i l i	kʰ ɑ d i l i
ɑ m kʼ ɔ b s	ɑ m kʼ ɔ b s
ɛ t͡sʼ v ɛ v ɑ	ɛ t͡sʼ v ɛ v ɑ
s ɑ t͡s ɑ v i	s ɑ t͡s ɑ v i
t͡ʃ r d i l i	t͡ʃ r d i l i
ɑ tʼ l ɑ s i	ɑ tʼ l ɑ s i
s ɑ n d r ɑ	s ɑ n d r ɑ
t͡sʼ ɑ v ɛ d i	t͡sʼ ɑ v ɛ d i
n ɑ tʼ ɛ x i	n ɑ tʼ ɛ x i
kʰ u l ɑ d͡ʒ ɑ	kʰ u l ɑ d͡ʒ ɑ
t͡ʃ u kʰ ɛ b ɑ	t͡ʃ u kʰ ɛ b ɑ
kʼ ɔ d ɑ l ɑ	kʼ ɔ d ɑ l ɑ
b ɑ v ʃ v i	b ɑ v ʃ v i
m ɔ v l i s	m ɔ v l i s
ɑ tʼ ɛ l i ɛ	ɑ tʼ ɛ l i ɛ
t͡sʼ ɑ s v l ɑ	t͡sʼ ɑ s v l ɑ
ɣ v i d͡z l i	ɣ v i d͡z l i
pʼ ɛ kʼ i n i	pʼ ɛ kʼ i n i
m u d ɑ r ɑ	m u d ɑ r ɑ
pʼ ɑ s ɑ ʒ i	pʼ ɑ s ɑ ʒ i
b ɑ r ɔ n i	b ɑ r ɔ n i
m ɔ t͡sʼ ɑ m ɛ	m ɔ t͡sʼ ɑ m ɛ
t͡ʃ i n ɛ tʰ i	t͡ʃ i n ɛ tʰ i
t͡sʼ i t͡sʼ i l ɑ	t͡sʼ i t͡sʼ i l ɑ
m t͡s d ɑ r i	m t͡s d ɑ r i
ɑ l ʒ i r i	ɑ l ʒ i r i
ɡ ɑ z ɛ tʰ i	ɡ ɑ z ɛ tʰ i
kʰ v i s l i	kʰ v i s l i
tʼ ɑ d͡z ɑ r i	tʼ ɑ d͡z ɑ r i
d r ɑ kʰ m ɑ	d r ɑ kʰ m ɑ
ɛ tʼ qʼ ɔ b ɑ	ɛ tʼ qʼ ɔ b ɑ
m ɛ u ɣ l ɛ	m ɛ u ɣ l ɛ
x u r ɑ v s	x u r ɑ v s
r ɛ kʼ ɑ v s	r ɛ kʼ ɑ v s
ɣ i m i l i	ɣ i m i l i
ɛ n d ɔ b ɑ	ɛ n d ɔ b ɑ
ɡ u l kʰ v ɑ	ɡ u l kʰ v ɑ
pʰ ɑ kʰ i z i	pʰ ɑ kʰ i z i
d ɣ ɛ ɛ b i	d ɣ ɛ ɛ b i
kʰ ɑ tʰ ɑ m i	kʰ ɑ tʰ ɑ m i
s ɑ t͡s ɛ t͡s i	s ɑ t͡s ɛ t͡s i
tʼ ɑ d͡z ɑ r s	tʼ ɑ d͡z ɑ r s
n ɑ t͡ʃʼ u t͡ʃʼ i	n ɑ t͡ʃʼ u t͡ʃʼ i
m i n d i ɑ	m i n d i ɑ
l ɑ z ɑ r ɛ	l ɑ z ɑ r ɛ
i ɔ s ɛ b i	i ɔ s ɛ b i
m t͡ʃʼ r ɛ l i	m t͡ʃʼ r ɛ l i
b i r tʰ v i	b i r tʰ v i
pʼ ɑ r i kʼ i	pʼ ɑ r i kʼ i
r u pʼ ɔ r i	r u pʼ ɔ r i
u ɑ z r ɔ d	u ɑ z r ɔ d
u kʼ m ɛ x i	u kʼ m ɛ x i
pʼ ɔ l u s i	pʼ ɔ l u s i
v ɔ kʼ ɑ l i	v ɔ kʼ ɑ l i
ʒ i l ɛ tʼ i	ʒ i l ɛ tʼ i
ɔ pʼ i u m i	ɔ pʼ i u m i
ɑ r ɑ m ɛ d	ɑ r ɑ m ɛ d
r ɛ b ɛ kʼ ɑ	r ɛ b ɛ kʼ ɑ
s ɑ m t͡s x ɛ	s ɑ m t͡s x ɛ
d͡z ɑ l u d͡z s	d͡z ɑ l u d͡z s
ɛ v ɡ ɛ n i	ɛ v ɡ ɛ n i
s ɑ r pʰ ɑ	s ɑ r pʰ ɑ
r ɑ z ɛ t͡s	r ɑ z ɛ t͡s
pʰ ɑ r tʰ ɛ	pʰ ɑ r tʰ ɛ
ʒ ɣ ɑ l i	ʒ ɣ ɑ l i
m ɛ n i u	m ɛ n i u
kʼ i d ɛ v	kʼ i d ɛ v
ɔ ɣ ɔ n d	ɔ ɣ ɔ n d
z ɛ b r ɑ	z ɛ b r ɑ
ɑ l ɑ ɡ i	ɑ l ɑ ɡ i
t͡ʃʼ v ɑ v i	t͡ʃʼ v ɑ v i
d͡ʒ ɔ ʃ u ɑ	d͡ʒ ɔ ʃ u ɑ
pʼ ɛ n s i	pʼ ɛ n s i
d ɑ r d i	d ɑ r d i
m ɑ r tʰ ɑ	m ɑ r tʰ ɑ
m ɑ i s s	m ɑ i s s
b m u l i	b m u l i
v n ɛ b ɑ	v n ɛ b ɑ
pʰ l ɔ tʼ i	pʰ l ɔ tʼ i
ɑ z r i s	ɑ z r i s
l i tʼ r i	l i tʼ r i
ɡ r i l i	ɡ r i l i
b ɑ pʰ tʰ ɑ	b ɑ pʰ tʰ ɑ
i x d i tʰ	i x d i tʰ
kʼ ɛ n t͡ʃʼ i	kʼ ɛ n t͡ʃʼ i
qʼ v ɑ v i	qʼ v ɑ v i
u t͡s x ɔ d	u t͡s x ɔ d
m ɛ pʰ ɛ m	m ɛ pʰ ɛ m
kʼ v i t͡s i	kʼ v i t͡s i
t͡ʃ ɑ t͡s m ɑ	t͡ʃ ɑ t͡s m ɑ
ɡ ɑ l i ɑ	ɡ ɑ l i ɑ
ɑ kʼ l i ɑ	ɑ kʼ l i ɑ
z ɔ r b ɑ	z ɔ r b ɑ
z u tʰ x i	z u tʰ x i
t͡ʃ v i l i	t͡ʃ v i l i
m x ɑ r ɛ	m x ɑ r ɛ
t͡s ɛ kʼ v ɑ	t͡s ɛ kʼ v ɑ
d͡z ɛ x v i	d͡z ɛ x v i
i ɡ ɑ v i	i ɡ ɑ v i
ɣ ɛ r d͡z i	ɣ ɛ r d͡z i
d͡ʒ ɡ u pʰ i	d͡ʒ ɡ u pʰ i
n ɑ ʃ tʰ i	n ɑ ʃ tʰ i
ɔ m ɑ n i	ɔ m ɑ n i
t͡s x i m i	t͡s x i m i
ɔ r d͡ʒ ɛ r	ɔ r d͡ʒ ɛ r
b u t͡ʃ kʰ i	b u t͡ʃ kʰ i
l ɛ i b i	l ɛ i b i
pʼ ɔ r tʼ i	pʼ ɔ r tʼ i
t͡sʼ ɑ v ɑ l	t͡sʼ ɑ v ɑ l
n u kʼ r i	n u kʼ r i
pʰ ɑ n d i	pʰ ɑ n d i
ɡ z ɛ b s	ɡ z ɛ b s
t͡sʼ ɑ b l ɑ	t͡sʼ ɑ b l ɑ
ɑ m i r i	ɑ m i r i
s ɑ ɣ ɔ l	s ɑ ɣ ɔ l
t͡sʼ qʼ ɑ l i	t͡sʼ qʼ ɑ l i
ɛ kʰ i m i	ɛ kʰ i m i
r ɔ ɡ ɔ r	r ɔ ɡ ɔ r
m ɛ n d͡ʒ i	m ɛ n d͡ʒ i
z ɔ n d i	z ɔ n d i
x i t͡sʼ v i	x i t͡sʼ v i
s ɑ n ɑ m	s ɑ n ɑ m
s kʰ ɛ l i	s kʰ ɛ l i
l pʼ ɔ b ɑ	l pʼ ɔ b ɑ
tʰ ɛ tʰ r i	tʰ ɛ tʰ r i
pʰ l ɑ v i	pʰ l ɑ v i
d ɛ i d ɑ	d ɛ i d ɑ
b ɔ ɣ m ɑ	b ɔ ɣ m ɑ
ɛ r i kʼ i	ɛ r i kʼ i
kʰ r ɛ b ɑ	kʰ r ɛ b ɑ
t͡ʃ ɑ ʃ l ɑ	t͡ʃ ɑ ʃ l ɑ
kʼ ɑ kʼ ɑ ɔ	kʼ ɑ kʼ ɑ ɔ
ɡ u ɡ l i	ɡ u ɡ l i
kʼ ɔ t͡s n ɑ	kʼ ɔ t͡s n ɑ
ɔ pʼ u s i	ɔ pʼ u s i
m ɑ r ɑ d	m ɑ r ɑ d
l ɑ m i s	l ɑ m i s
l i n z ɑ	l i n z ɑ
tʰ x ɔ v s	tʰ x ɔ v s
s ɑ x ɛ s	s ɑ x ɛ s
x v ɛ l ɑ	x v ɛ l ɑ
ɡ l ɛ x i	ɡ l ɛ x i
b l ɔ ɡ i	b l ɔ ɡ i
u s u n ɔ	u s u n ɔ
x r i kʼ i	x r i kʼ i
h i d r ɑ	h i d r ɑ
b r ɑ l i	b r ɑ l i
ɑ l ɑ l i	ɑ l ɑ l i
m ɑ kʰ v s	m ɑ kʰ v s
kʼ ɑ tʰ x ɑ	kʼ ɑ tʰ x ɑ
r i s kʼ i	r i s kʼ i
s ɔ u s i	s ɔ u s i
t͡sʼ n ɛ v ɑ	t͡sʼ n ɛ v ɑ
ʃ u ɣ l i	ʃ u ɣ l i
i ɡ ɛ b s	i ɡ ɛ b s
kʰ l ɔ r i	kʰ l ɔ r i
d͡ʒ ɔ u l i	d͡ʒ ɔ u l i
m ɛ tʼ ɑ d	m ɛ tʼ ɑ d
kʼ r ɛ pʰ s	kʼ r ɛ pʰ s
tʼ i pʼ m ɑ	tʼ i pʼ m ɑ
t͡s u d ɑ d	t͡s u d ɑ d
r ɔ n d ɔ	r ɔ n d ɔ
ɡ v ʃ i ɑ	ɡ v ʃ i ɑ
ɣ r m ɑ d	ɣ r m ɑ d
pʼ i r m ɑ	pʼ i r m ɑ
ɑ d͡ʒ i kʼ ɑ	ɑ d͡ʒ i kʼ ɑ
s ɑ x l i	s ɑ x l i
d͡z u n t͡sʼ i	d͡z u n t͡sʼ i
ɑ s u l i	ɑ s u l i
d n ɔ b ɑ	d n ɔ b ɑ
x u r d ɑ	x u r d ɑ
t͡s x ɑ r ɛ	t͡s x ɑ r ɛ
tʼ qʼ u pʼ i	tʼ qʼ u pʼ i
m ɔ x d ɑ	m ɔ x d ɑ
s t͡sʼ ɔ r i	s t͡sʼ ɔ r i
pʼ i r ɑ d	pʼ i r ɑ d
d i l i tʰ	d i l i tʰ
s pʼ i l ɔ	s pʼ i l ɔ
ʃ ɛ t͡sʼ v ɑ	ʃ ɛ t͡sʼ v ɑ
r b ɔ l ɑ	r b ɔ l ɑ
m tʼ ɛ r i	m tʼ ɛ r i
z ɛ v s i	z ɛ v s i
d ɑ r ɡ i	d ɑ r ɡ i
t͡sʼ ɛ r i ɑ	t͡sʼ ɛ r i ɑ
m ɑ ʃ i n	m ɑ ʃ i n
m ɑ z l i	m ɑ z l i
tʼ u r n ɛ	tʼ u r n ɛ
ɑ kʰ t͡s i ɑ	ɑ kʰ t͡s i ɑ
ʃ ɔ r i s	ʃ ɔ r i s
ɡ r i pʰ i	ɡ r i pʰ i
m ɑ r tʼ ɔ	m ɑ r tʼ ɔ
r u m b ɑ	r u m b ɑ
ɑ r ɛ n ɑ	ɑ r ɛ n ɑ
m ɔ d i s	m ɔ d i s
l ɛ kʼ v i	l ɛ kʼ v i
s ɔ n i ɑ	s ɔ n i ɑ
kʼ ɑ r ɑ d	kʼ ɑ r ɑ d
n d ɔ b ɑ	n d ɔ b ɑ
kʼ ɑ t͡s i tʰ	kʼ ɑ t͡s i tʰ
t͡sʼ i ɡ n i	t͡sʼ i ɡ n i
v i x d i	v i x d i
kʼ ɛ n tʼ i	kʼ ɛ n tʼ i
v i ɣ ɑ t͡s	v i ɣ ɑ t͡s
x ɑ l x i	x ɑ l x i
kʼ u n tʰ i	kʼ u n tʰ i
tʰ i b v ɑ	tʰ i b v ɑ
ɡ r ɛ ɡ i	ɡ r ɛ ɡ i
l ɛ ɔ n i	l ɛ ɔ n i
l u kʼ m ɑ	l u kʼ m ɑ
tʰ ɛ s v ɑ	tʰ ɛ s v ɑ
pʰ s ɔ n i	pʰ s ɔ n i
pʼ ɑ s tʼ ɑ	pʼ ɑ s tʼ ɑ
u tʰ ɑ v ɔ	u tʰ ɑ v ɔ
tʼ i r i s	tʼ i r i s
i r ɛ m i	i r ɛ m i
b z ɔ b ɑ	b z ɔ b ɑ
l ɑ i m i	l ɑ i m i
kʰ u r d i	kʰ u r d i
d͡ʒ d ɔ m ɑ	d͡ʒ d ɔ m ɑ
l ɑ u r ɑ	l ɑ u r ɑ
qʼ v ɛ l ɑ	qʼ v ɛ l ɑ
x ɔ t͡s v ɑ	x ɔ t͡s v ɑ
tʰ x i l i	tʰ x i l i
b u n tʼ i	b u n tʼ i
l i b i ɑ	l i b i ɑ
r ɔ m ɑ d	r ɔ m ɑ d
kʼ ɔ b r i	kʼ ɔ b r i
ɑ x d i s	ɑ x d i s
x ɑ tʼ v ɑ	x ɑ tʼ v ɑ
s ɑ kʰ m ɛ	s ɑ kʰ m ɛ
b ɔ r d ɔ	b ɔ r d ɔ
kʰ v ɛ m ɔ	kʰ v ɛ m ɔ
b u r tʰ i	b u r tʰ i
ɛ ɡ i d ɑ	ɛ ɡ i d ɑ
ɛ s ɛ n i	ɛ s ɛ n i
ɑ u z i s	ɑ u z i s
t͡sʼ ɑ ɑ ɡ ɔ	t͡sʼ ɑ ɑ ɡ ɔ
n ɑ kʼ l i	n ɑ kʼ l i
t͡ʃʼ r i l i	t͡ʃʼ r i l i
pʼ ɑ n d ɑ	pʼ ɑ n d ɑ
m ɛ pʰ i tʰ	m ɛ pʰ i tʰ
x ɔ tʼ b ɑ	x ɔ tʼ b ɑ
ɑ s ɑ kʼ i	ɑ s ɑ kʼ i
x ɑ tʼ i ɑ	x ɑ tʼ i ɑ
ɑ b ɑ n ɔ	ɑ b ɑ n ɔ
s ɑ r kʼ ɛ	s ɑ r kʼ ɛ
s v ɛ tʼ i	s v ɛ tʼ i
b u r ɣ i	b u r ɣ i
ɡ ɑ kʰ v tʰ	ɡ ɑ kʰ v tʰ
ɛ kʼ ɑ l i	ɛ kʼ ɑ l i
kʰ v ɑ b i	kʰ v ɑ b i
tʼ qʼ ɑ v i	tʼ qʼ ɑ v i
tʼ v i n ɔ	tʼ v i n ɔ
m ɑ r tʼ i	m ɑ r tʼ i
m s u qʼ ɛ	m s u qʼ ɛ
pʼ i r i s	pʼ i r i s
d͡ʒ m u x i	d͡ʒ m u x i
ʒ ɑ n r i	ʒ ɑ n r i
d ɑ ʃ l ɑ	d ɑ ʃ l ɑ
kʼ ɔ x tʼ ɑ	kʼ ɔ x tʼ ɑ
x ɛ l i s	x ɛ l i s
pʼ l ɑ tʼ ɔ	pʼ l ɑ tʼ ɔ
z i ɑ n i	z i ɑ n i
pʰ ɛ r m ɑ	pʰ ɛ r m ɑ
ɡ ɛ r b i	ɡ ɛ r b i
r ɔ z ɡ i	r ɔ z ɡ i
t͡sʼ ɛ v r i	t͡sʼ ɛ v r i
s ɑ m ɔ ɑ	s ɑ m ɔ ɑ
t͡s ɔ d v ɑ	t͡s ɔ d v ɑ
ɑ l b ɑ tʰ	ɑ l b ɑ tʰ
t͡s i tʼ r ɑ	t͡s i tʼ r ɑ
m ɛ pʰ ɛ d	m ɛ pʰ ɛ d
i ɑ pʰ ɑ d	i ɑ pʰ ɑ d
t͡ʃ ɑ r t͡ʃ ɔ	t͡ʃ ɑ r t͡ʃ ɔ
